Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,280.0,281.79,274.85,277.02,277.02,103348.0
2023-02-17,276.49,278.1,271.28,271.66,271.66,100997.0
2023-02-20,271.59,273.3,267.0,272.8,272.8,130701.0
2023-02-21,272.0,276.56,270.28,274.75,274.75,113690.0
2023-02-22,271.9,272.62,268.9,270.42,270.42,85088.0
2023-02-23,269.9,271.67,268.5,270.44,270.44,100358.0
2023-02-24,269.02,269.88,267.0,267.58,267.58,66868.0
2023-02-27,265.0,265.89,258.0,259.81,259.81,169704.0
2023-02-28,261.0,262.0,257.57,260.8,260.8,120330.0
2023-03-01,260.75,266.54,257.76,265.5,265.5,143658.0
2023-03-02,266.12,268.13,262.0,263.71,263.71,114905.0
2023-03-03,264.99,265.23,262.08,263.79,263.79,63982.0
2023-03-06,264.0,264.63,258.0,264.27,264.27,112124.0
2023-03-07,264.18,266.99,260.5,260.68,260.68,105933.0
2023-03-08,258.5,259.79,255.0,256.99,256.99,120898.0
2023-03-09,256.5,259.83,254.01,256.07,256.07,96731.0
2023-03-10,252.0,253.0,242.3,243.14,243.14,283464.0
2023-03-13,241.72,242.95,237.0,240.49,240.49,167343.0
2023-03-14,240.0,242.5,233.03,239.98,239.98,198568.0
2023-03-15,241.5,242.48,237.41,238.62,238.62,120715.0
2023-03-16,235.0,239.62,234.0,234.79,234.79,118370.0
2023-03-17,236.78,240.98,235.53,237.91,237.91,135003.0
2023-03-20,237.91,239.36,234.6,235.57,235.57,86323.0
2023-03-21,236.89,239.51,234.79,239.51,239.51,108873.0
2023-03-22,242.2,247.58,242.08,243.2,243.2,155339.0
2023-03-23,242.99,245.5,239.5,245.49,245.49,97461.0
2023-03-24,245.5,247.63,243.49,246.02,246.02,81018.0
2023-03-27,245.99,245.99,240.3,243.65,243.65,92495.0
2023-03-28,244.5,245.67,242.4,245.01,245.01,81845.0
2023-03-29,246.55,250.25,246.55,247.7,247.7,144303.0
2023-03-30,250.0,257.2,250.0,257.2,257.2,209267.0
2023-03-31,258.97,260.86,255.0,256.02,256.02,167008.0
2023-04-03,256.0,258.24,252.26,255.92,255.92,133691.0
2023-04-04,255.81,255.81,247.99,250.92,250.92,137744.0
2023-04-06,248.0,250.88,245.68,250.0,250.0,81942.0
2023-04-07,250.05,252.13,248.33,249.28,249.28,68723.0
2023-04-10,249.28,251.2,246.0,251.0,251.0,98058.0
2023-04-11,252.15,254.49,248.6,249.83,249.83,87455.0
2023-04-12,248.8,248.8,243.33,243.4,243.4,112330.0
2023-04-13,240.58,243.0,237.77,242.82,242.82,80965.0
2023-04-14,243.4,247.47,242.99,246.06,246.06,105506.0
2023-04-17,245.0,249.68,244.21,249.44,249.44,90394.0
2023-04-18,250.4,252.18,248.44,249.0,249.0,78432.0
2023-04-19,249.0,253.2,246.09,250.85,250.85,111927.0
2023-04-20,249.93,249.93,245.0,245.02,245.02,100308.0
2023-04-21,244.5,248.95,243.0,243.0,243.0,104052.0
2023-04-24,244.1,258.6,243.18,253.49,253.49,267017.0
2023-04-25,251.0,251.8,242.2,244.3,244.3,187419.0
2023-04-26,243.0,254.54,241.0,251.0,251.0,174492.0
2023-04-27,250.0,258.99,249.55,258.92,258.92,242464.0
2023-04-28,261.47,262.97,254.0,255.86,255.86,191945.0
2023-05-04,255.0,257.61,251.4,252.52,252.52,118124.0
2023-05-05,252.55,253.8,247.95,250.07,250.07,102440.0
2023-05-08,253.0,259.1,252.52,254.03,254.03,121626.0
2023-05-09,250.04,253.36,249.0,250.11,250.11,89885.0
2023-05-10,251.0,262.18,249.2,259.79,259.79,253691.0
2023-05-11,260.77,269.8,258.68,263.75,263.75,214237.0
2023-05-12,266.0,268.25,259.52,260.1,260.1,104574.0
2023-05-15,260.1,266.55,258.7,264.9,264.9,136926.0
2023-05-16,264.39,267.42,263.2,265.13,265.13,81639.0
2023-05-17,264.99,265.8,259.01,261.0,261.0,89556.0
2023-05-18,262.3,263.88,256.56,259.08,259.08,100697.0
2023-05-19,258.18,260.92,256.3,259.18,259.18,60106.0
2023-05-22,260.92,266.0,257.08,265.1,265.1,120165.0
2023-05-23,265.04,266.88,262.93,262.93,262.93,90619.0
2023-05-24,261.6,265.0,259.52,261.91,261.91,68093.0
2023-05-25,261.96,263.85,255.14,255.6,255.6,132079.0
2023-05-26,253.0,253.0,242.8,246.99,246.99,185813.0
2023-05-29,250.0,250.55,242.0,244.93,244.93,124723.0
2023-05-30,245.95,255.0,245.83,252.2,252.2,166881.0
2023-05-31,252.2,254.9,249.65,253.66,253.66,118381.0
2023-06-01,253.66,257.88,253.23,255.45,255.45,86736.0
2023-06-02,257.88,259.59,255.6,259.06,259.06,110680.0
2023-06-05,259.0,259.06,251.67,258.32,258.32,104795.0
2023-06-06,257.95,265.0,256.18,260.88,260.88,128981.0
2023-06-07,262.0,263.44,255.5,256.55,256.55,100490.0
2023-06-08,256.19,258.84,254.47,255.0,255.0,64454.0
2023-06-09,258.8,259.1,252.5,258.0,258.0,107484.0
2023-06-12,256.5,263.0,255.5,260.51,260.51,102891.0
2023-06-13,260.5,262.0,257.13,261.22,261.22,81511.0
2023-06-14,262.68,265.39,261.5,263.0,263.0,125776.0
2023-06-15,263.5,275.01,263.29,271.88,271.88,243961.0
2023-06-16,273.86,275.86,270.0,271.08,271.08,152297.0
2023-06-19,271.08,274.99,267.88,269.21,269.21,123565.0
2023-06-20,269.01,269.2,264.9,268.25,268.25,102366.0
2023-06-21,267.01,273.28,266.25,267.78,267.78,107812.0
2023-06-26,262.43,268.69,262.3,262.89,262.89,101512.0
2023-06-27,262.02,263.85,257.08,260.05,260.05,99029.0
2023-06-28,260.0,262.5,258.1,260.25,260.25,57270.0
2023-06-29,260.25,260.78,255.23,255.7,255.7,83485.0
2023-06-30,254.13,260.0,253.7,258.27,258.27,75724.0
2023-07-03,258.88,269.27,258.88,267.48,267.48,162565.0
2023-07-04,268.5,275.0,266.51,271.5,271.5,157120.0
2023-07-05,271.51,272.48,265.69,267.0,267.0,93033.0
2023-07-06,267.0,272.0,266.8,268.1,268.1,83712.0
2023-07-07,267.0,267.66,264.11,264.4,264.4,62192.0
2023-07-10,267.0,269.5,262.75,263.55,263.55,68878.0
2023-07-11,265.0,270.69,263.8,269.33,269.33,102405.0
2023-07-12,270.5,271.15,264.66,265.61,265.61,87032.0
2023-07-13,267.5,269.5,265.01,267.83,267.83,82753.0
2023-07-14,267.8,267.8,263.5,264.41,264.41,102722.0
2023-07-17,267.0,267.0,262.35,264.49,264.49,78927.0
2023-07-18,265.25,267.57,260.5,265.48,265.48,98456.0
2023-07-19,265.49,265.9,262.74,264.83,264.83,50250.0
2023-07-20,265.5,269.5,264.0,264.95,264.95,91271.0
2023-07-21,264.0,264.8,261.55,264.32,264.32,75287.0
2023-07-24,261.01,262.77,257.49,257.5,257.5,95950.0
2023-07-25,262.68,266.99,262.65,264.59,264.59,173883.0
2023-07-26,263.76,263.76,260.6,262.09,262.09,65865.0
2023-07-27,264.5,265.77,260.8,261.63,261.63,112651.0
2023-07-28,260.0,267.65,258.22,267.0,267.0,173308.0
2023-07-31,270.0,276.58,269.88,272.0,272.0,215060.0
2023-08-01,271.76,272.76,266.5,268.5,268.5,120340.0
2023-08-02,270.7,272.0,266.36,268.0,268.0,87394.0
2023-08-03,267.28,268.48,265.51,268.23,268.23,66170.0
2023-08-04,268.99,270.07,266.65,268.3,268.3,88053.0
2023-08-07,267.93,267.93,265.19,266.99,266.99,64204.0
2023-08-08,265.2,266.5,262.51,263.3,263.3,91712.0
2023-08-09,262.0,263.5,260.23,262.9,262.9,72499.0
2023-08-10,263.0,264.87,260.74,262.7,262.7,60016.0
2023-08-11,262.69,262.7,259.01,259.25,259.25,86125.0
2023-08-14,255.0,256.99,243.49,245.82,245.82,252890.0
2023-08-15,245.82,246.13,241.9,244.54,244.54,115021.0
2023-08-16,243.28,245.5,242.21,244.2,244.2,79979.0
2023-08-17,243.37,246.34,240.4,246.01,246.01,86836.0
2023-08-18,245.56,245.56,240.0,240.29,240.29,98467.0
2023-08-21,239.8,239.88,234.05,234.41,234.41,127879.0
2023-08-22,237.97,238.5,230.9,234.54,234.54,112116.0
2023-08-23,234.54,234.54,230.03,230.09,230.09,81238.0
2023-08-24,231.01,237.0,231.01,234.9,234.9,106811.0
2023-08-25,233.28,234.33,231.5,232.6,232.6,66775.0
2023-08-28,248.0,248.0,234.25,235.53,235.53,133527.0
2023-08-29,236.81,247.5,236.81,246.71,246.71,213223.0
2023-08-30,249.33,251.47,247.84,249.8,249.8,152187.0
2023-08-31,250.51,250.99,248.0,249.4,249.4,88734.0
2023-09-01,253.0,254.47,248.0,249.12,249.12,77772.0
2023-09-04,251.6,253.0,248.88,252.45,252.45,96512.0
2023-09-05,252.2,252.2,248.69,249.03,249.03,74571.0
2023-09-06,250.0,252.3,249.3,250.45,250.45,65929.0
2023-09-07,250.42,250.42,248.11,248.4,248.4,60913.0
2023-09-08,247.01,247.01,242.69,244.05,244.05,67634.0
2023-09-11,243.7,248.5,242.2,247.01,247.01,76513.0
2023-09-12,248.7,253.37,247.1,251.99,251.99,119532.0
2023-09-13,252.0,254.28,250.4,251.55,251.55,91479.0
2023-09-14,246.8,246.95,242.0,243.63,243.63,152580.0
2023-09-15,244.0,246.84,241.51,244.29,244.29,82256.0
2023-09-18,244.5,251.2,244.29,247.38,247.38,96405.0
2023-09-19,246.0,248.28,243.8,247.17,247.17,62397.0
2023-09-20,245.0,246.28,244.0,244.0,244.0,54497.0
2023-09-21,243.0,243.87,238.55,239.68,239.68,92965.0
2023-09-22,239.52,245.66,238.5,245.05,245.05,96764.0
2023-09-25,246.83,246.98,244.35,245.8,245.8,64787.0
2023-09-26,245.0,245.0,238.3,238.5,238.5,118463.0
2023-09-27,239.11,242.22,237.79,237.83,237.83,75734.0
