Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,451.99,454.5,438.0,443.2,443.2,100911.0
2023-02-17,442.0,442.0,420.0,420.19,420.19,214696.0
2023-02-20,416.0,421.88,406.33,420.47,420.47,168299.0
2023-02-21,417.48,422.49,412.0,415.01,415.01,131846.0
2023-02-22,409.0,414.1,406.67,409.47,409.47,123639.0
2023-02-23,410.0,415.13,407.4,413.23,413.23,95373.0
2023-02-24,411.0,411.8,404.02,405.4,405.4,99894.0
2023-02-27,402.73,405.48,400.1,401.1,401.1,92206.0
2023-02-28,403.99,408.3,401.5,403.9,403.9,93231.0
2023-03-01,403.1,414.18,403.03,411.78,411.78,126020.0
2023-03-02,409.5,411.0,396.2,400.8,400.8,161453.0
2023-03-03,402.3,405.71,400.0,402.32,402.32,82031.0
2023-03-06,402.17,408.87,392.01,408.42,408.42,166267.0
2023-03-07,404.0,408.99,401.83,402.2,402.2,99184.0
2023-03-08,400.01,402.93,395.11,397.73,397.73,81294.0
2023-03-09,396.2,401.28,388.24,397.01,397.01,81367.0
2023-03-10,401.69,409.93,395.9,405.79,405.79,191426.0
2023-03-13,403.03,406.66,390.0,392.0,392.0,188332.0
2023-03-14,390.88,391.0,378.0,387.23,387.23,184847.0
2023-03-15,393.0,395.74,383.62,388.0,388.0,129683.0
2023-03-16,384.0,389.91,383.5,385.11,385.11,101132.0
2023-03-17,389.0,389.99,375.5,375.98,375.98,201447.0
2023-03-20,374.54,384.6,368.0,379.95,379.95,158370.0
2023-03-21,382.2,394.18,378.7,393.78,393.78,172924.0
2023-03-22,398.74,408.66,397.02,399.2,399.2,176872.0
2023-03-23,398.0,401.92,394.43,398.38,398.38,100289.0
2023-03-24,398.4,402.26,390.0,393.58,393.58,117653.0
2023-03-27,391.11,398.6,384.42,396.5,396.5,161157.0
2023-03-28,394.0,396.18,390.2,392.6,392.6,75906.0
2023-03-29,395.21,404.28,393.03,400.18,400.18,137546.0
2023-03-30,400.99,402.0,397.35,400.11,400.11,86819.0
2023-03-31,404.5,414.98,404.5,406.05,406.05,196076.0
2023-04-03,406.11,406.8,396.0,398.71,398.71,167632.0
2023-04-04,399.99,399.99,381.81,388.0,388.0,200897.0
2023-04-06,384.0,389.55,380.15,388.02,388.02,105816.0
2023-04-07,386.15,394.0,384.36,390.51,390.51,100581.0
2023-04-10,393.89,402.11,388.0,402.01,402.01,172379.0
2023-04-11,400.01,409.87,398.0,399.95,399.95,143663.0
2023-04-12,400.0,400.0,392.0,392.01,392.01,87367.0
2023-04-13,390.0,391.36,385.0,388.26,388.26,100464.0
2023-04-14,387.9,402.37,387.5,397.29,397.29,159237.0
2023-04-17,396.33,410.0,395.8,407.88,407.88,176632.0
2023-04-18,407.89,418.0,407.29,409.0,409.0,140605.0
2023-04-19,414.5,414.84,406.0,410.37,410.37,116224.0
2023-04-20,410.3,410.3,396.0,396.0,396.0,158438.0
2023-04-21,404.5,414.92,399.0,404.99,404.99,252760.0
2023-04-24,405.1,406.0,392.88,396.88,396.88,173774.0
2023-04-25,398.0,398.0,380.0,385.9,385.9,168989.0
2023-04-26,213.0,227.95,210.01,224.5,224.5,397075.0
2023-04-27,224.0,232.48,222.31,231.0,231.0,339691.0
2023-04-28,234.0,237.33,226.89,230.85,230.85,271048.0
2023-05-04,231.0,232.5,224.55,225.52,225.52,194091.0
2023-05-05,225.0,230.0,223.72,227.0,227.0,167409.0
2023-05-08,230.0,233.79,226.06,230.81,230.81,227531.0
2023-05-09,230.38,230.38,224.05,225.83,225.83,196538.0
2023-05-10,225.8,234.25,221.21,232.52,232.52,289568.0
2023-05-11,232.55,242.98,231.2,240.4,240.4,347474.0
2023-05-12,241.99,244.56,237.98,237.98,237.98,223100.0
2023-05-15,241.01,244.0,235.1,238.29,238.29,267065.0
2023-05-16,238.4,240.97,236.77,239.0,239.0,139740.0
2023-05-17,239.0,241.68,236.06,240.0,240.0,182464.0
2023-05-18,241.3,241.37,231.04,232.4,232.4,241239.0
2023-05-19,231.75,234.18,230.0,230.0,230.0,194722.0
2023-05-22,229.0,232.5,227.0,230.3,230.3,146791.0
2023-05-23,230.88,231.71,225.15,225.42,225.42,196132.0
2023-05-24,224.8,228.51,223.72,225.25,225.25,147857.0
2023-05-25,224.85,227.68,222.49,224.09,224.09,137533.0
2023-05-26,224.2,224.5,217.5,220.0,220.0,182117.0
2023-05-29,222.2,222.22,215.6,217.06,217.06,165372.0
2023-05-30,217.0,224.99,216.01,224.99,224.99,264671.0
2023-05-31,225.05,226.89,220.16,221.17,221.17,188697.0
2023-06-01,222.64,228.0,221.51,222.9,222.9,159410.0
2023-06-02,224.9,229.99,224.0,228.44,228.44,231815.0
2023-06-05,225.9,225.9,216.39,219.8,219.8,335951.0
2023-06-06,218.01,222.3,216.98,219.28,219.28,172425.0
2023-06-07,216.38,216.5,204.45,207.3,207.3,500939.0
2023-06-08,212.75,213.3,207.0,208.01,208.01,238579.0
2023-06-09,208.55,213.13,208.55,212.04,212.04,242617.0
2023-06-12,211.95,214.0,208.9,211.95,211.95,181316.0
2023-06-13,211.01,213.93,210.68,213.1,213.1,132437.0
2023-06-14,217.15,217.63,213.0,213.4,213.4,163629.0
2023-06-15,214.99,230.88,214.89,230.88,230.88,504957.0
2023-06-16,232.0,234.17,228.3,231.1,231.1,296398.0
2023-06-19,232.99,232.99,226.0,227.88,227.88,187071.0
2023-06-20,227.87,231.31,225.77,228.0,228.0,179605.0
2023-06-21,228.81,230.5,224.9,224.91,224.91,171184.0
2023-06-26,219.91,226.95,219.68,225.17,225.17,159106.0
2023-06-27,223.98,226.3,221.18,223.47,223.47,134206.0
2023-06-28,222.22,226.5,222.0,224.5,224.5,135586.0
2023-06-29,223.51,226.91,222.5,222.5,222.5,99302.0
2023-06-30,223.99,229.99,220.35,228.79,228.79,215515.0
2023-07-03,231.95,233.95,228.55,229.88,229.88,155544.0
2023-07-04,228.5,230.05,227.68,229.25,229.25,101557.0
2023-07-05,229.26,230.41,225.5,227.51,227.51,86364.0
2023-07-06,227.0,228.48,223.97,224.85,224.85,102836.0
2023-07-07,224.8,224.85,221.6,222.25,222.25,98084.0
2023-07-10,223.0,230.0,223.0,228.8,228.8,160938.0
2023-07-11,229.65,229.99,226.58,229.09,229.09,91588.0
2023-07-12,228.5,229.4,226.5,226.99,226.99,86933.0
2023-07-13,228.21,235.0,228.21,230.0,230.0,222577.0
2023-07-14,230.15,230.93,226.55,228.28,228.28,130041.0
2023-07-17,227.01,228.0,223.6,225.65,225.65,104525.0
2023-07-18,227.8,227.88,224.5,225.5,225.5,85758.0
2023-07-19,224.0,224.95,218.58,219.5,219.5,176002.0
2023-07-20,219.0,226.69,219.0,221.05,221.05,144416.0
2023-07-21,220.85,222.98,219.76,221.59,221.59,83935.0
2023-07-24,217.15,220.88,214.14,218.98,218.98,137193.0
2023-07-25,224.9,227.64,221.02,226.35,226.35,192862.0
2023-07-26,225.12,227.0,223.66,226.66,226.66,154568.0
2023-07-27,231.0,232.88,226.88,226.98,226.98,208592.0
2023-07-28,226.98,231.0,225.05,230.05,230.05,188031.0
2023-07-31,234.0,239.5,233.1,237.75,237.75,299028.0
2023-08-01,237.4,239.1,234.5,235.5,235.5,156152.0
2023-08-02,237.0,239.49,235.5,236.5,236.5,141472.0
2023-08-03,236.0,239.97,235.53,239.14,239.14,161805.0
2023-08-04,245.0,249.96,241.11,245.51,245.51,315697.0
2023-08-07,244.5,246.94,243.31,246.49,246.49,149277.0
2023-08-08,245.98,249.33,244.88,247.14,247.14,150667.0
2023-08-09,245.5,247.68,243.14,247.0,247.0,116847.0
2023-08-10,247.9,251.33,244.12,246.5,246.5,140410.0
2023-08-11,248.95,248.95,241.5,241.5,241.5,172041.0
2023-08-14,239.2,239.98,230.21,232.9,232.9,256932.0
2023-08-15,232.88,234.6,229.4,231.3,231.3,146101.0
2023-08-16,231.52,234.38,230.11,232.6,232.6,140090.0
2023-08-17,234.99,236.5,228.88,235.25,235.25,204428.0
2023-08-18,235.29,239.12,234.42,235.87,235.87,167700.0
2023-08-21,233.99,235.87,232.2,232.96,232.96,107804.0
2023-08-22,234.8,235.18,227.51,230.75,230.75,151889.0
2023-08-23,230.7,231.9,227.0,227.5,227.5,118749.0
2023-08-24,228.88,231.54,226.5,228.95,228.95,141577.0
2023-08-25,227.93,229.97,225.81,228.34,228.34,111851.0
2023-08-28,241.5,243.96,229.5,230.5,230.5,223115.0
2023-08-29,231.2,243.0,230.92,238.5,238.5,291750.0
2023-08-30,239.4,242.0,237.5,237.5,237.5,145916.0
2023-08-31,237.1,238.5,236.13,236.55,236.55,96715.0
2023-09-01,236.6,239.51,234.6,236.4,236.4,91011.0
2023-09-04,238.21,238.76,233.4,237.65,237.65,140524.0
2023-09-05,237.0,239.5,236.16,236.82,236.82,115817.0
2023-09-06,236.05,237.17,232.8,234.42,234.42,124748.0
2023-09-07,233.0,233.75,226.51,226.51,226.51,192661.0
2023-09-08,225.0,227.2,220.5,222.94,222.94,164994.0
2023-09-11,222.9,223.55,219.68,221.53,221.53,170609.0
2023-09-12,222.0,222.41,217.54,217.93,217.93,182312.0
2023-09-13,217.0,219.15,215.03,216.6,216.6,151357.0
2023-09-14,213.68,216.3,213.03,214.93,214.93,182941.0
2023-09-15,212.0,214.0,206.6,207.76,207.76,336800.0
2023-09-18,206.0,214.69,206.0,213.06,213.06,265935.0
2023-09-19,213.06,213.48,210.6,212.32,212.32,150244.0
2023-09-20,213.0,213.33,208.68,209.9,209.9,130875.0
