Date,Open,High,Low,Close,Adj Close,Volume
2023-02-15,13.82,13.92,13.71,13.78,13.78,146366.0
2023-02-16,13.8,13.81,13.25,13.36,13.36,213072.0
2023-02-17,13.36,13.44,13.12,13.13,13.13,157045.0
2023-02-20,13.14,13.33,13.01,13.31,13.31,140653.0
2023-02-21,13.4,13.73,13.34,13.6,13.6,195802.0
2023-02-22,13.53,13.72,13.47,13.57,13.57,113392.0
2023-02-23,13.65,13.7,13.47,13.58,13.58,112386.0
2023-02-24,13.55,13.58,13.42,13.48,13.48,88139.0
2023-02-27,13.47,13.73,13.39,13.54,13.54,141249.0
2023-02-28,13.57,13.61,13.37,13.54,13.54,99953.0
2023-03-01,13.57,13.57,13.39,13.54,13.54,100030.0
2023-03-02,13.55,13.57,13.34,13.35,13.35,177776.0
2023-03-03,13.32,13.46,13.12,13.22,13.22,174362.0
2023-03-06,13.24,13.31,13.11,13.27,13.27,128165.0
2023-03-07,13.2,13.27,12.77,12.8,12.8,204901.0
2023-03-08,12.8,12.89,12.72,12.84,12.84,106155.0
2023-03-09,12.88,12.9,12.78,12.81,12.81,82879.0
2023-03-10,12.75,12.8,12.51,12.55,12.55,115646.0
2023-03-13,12.52,12.62,12.39,12.54,12.54,90560.0
2023-03-14,12.48,12.52,12.17,12.32,12.32,101850.0
2023-03-15,12.39,12.52,12.37,12.4,12.4,78467.0
2023-03-16,12.36,12.4,12.18,12.18,12.18,94594.0
2023-03-17,12.28,12.33,12.17,12.2,12.2,88043.0
2023-03-20,12.17,12.43,12.12,12.33,12.33,112062.0
2023-03-21,12.33,12.51,12.29,12.5,12.5,86563.0
2023-03-22,12.52,12.6,12.45,12.5,12.5,107108.0
2023-03-23,12.49,12.75,12.42,12.63,12.63,105466.0
2023-03-24,12.62,12.75,12.57,12.71,12.71,105997.0
2023-03-27,12.71,12.76,12.62,12.66,12.66,84065.0
2023-03-28,12.7,12.7,12.53,12.56,12.56,68733.0
2023-03-29,12.59,12.61,12.42,12.42,12.42,66899.0
2023-03-30,12.5,12.5,12.34,12.44,12.44,68573.0
2023-03-31,12.46,12.68,12.46,12.63,12.63,87679.0
2023-04-03,12.57,12.69,12.5,12.6,12.6,109367.0
2023-04-04,12.6,12.62,12.13,12.17,12.17,201594.0
2023-04-06,12.16,12.26,12.12,12.21,12.21,96222.0
2023-04-07,12.2,12.31,12.2,12.25,12.25,75048.0
2023-04-10,12.28,12.7,12.26,12.65,12.65,200644.0
2023-04-11,12.7,12.76,12.51,12.61,12.61,113995.0
2023-04-12,12.61,12.88,12.59,12.72,12.72,143982.0
2023-04-13,12.76,12.91,12.65,12.72,12.72,133545.0
2023-04-14,12.73,12.86,12.67,12.69,12.69,94260.0
2023-04-17,12.77,12.88,12.68,12.84,12.84,113805.0
2023-04-18,12.8,12.93,12.76,12.85,12.85,98226.0
2023-04-19,12.85,12.93,12.72,12.75,12.75,83963.0
2023-04-20,12.75,12.8,12.61,12.67,12.67,84928.0
2023-04-21,12.74,12.77,12.32,12.37,12.37,125752.0
2023-04-24,12.37,12.37,11.86,11.94,11.94,163607.0
2023-04-25,11.95,12.0,11.38,11.54,11.54,153306.0
2023-04-26,11.51,12.04,11.5,11.96,11.96,115264.0
2023-04-27,12.01,12.11,11.85,11.92,11.92,76771.0
2023-04-28,11.93,12.26,11.93,12.26,12.26,89358.0
2023-05-04,12.3,12.65,12.25,12.28,12.28,183221.0
2023-05-05,12.25,12.34,11.98,12.11,12.11,125543.0
2023-05-08,12.16,12.44,12.16,12.28,12.28,101215.0
2023-05-09,12.34,12.34,12.06,12.07,12.07,94597.0
2023-05-10,12.1,12.46,12.03,12.35,12.35,92505.0
2023-05-11,12.34,12.45,12.3,12.34,12.34,61625.0
2023-05-12,12.39,12.45,12.15,12.19,12.19,57827.0
2023-05-15,12.19,12.47,12.15,12.45,12.45,89917.0
2023-05-16,12.45,12.56,12.34,12.43,12.43,82649.0
2023-05-17,12.42,12.59,12.36,12.58,12.58,80780.0
2023-05-18,12.6,12.87,12.51,12.72,12.72,174267.0
2023-05-19,12.6,12.64,12.37,12.55,12.55,145487.0
2023-05-22,12.49,12.58,12.41,12.44,12.44,68423.0
2023-05-23,12.51,12.52,12.24,12.27,12.27,85355.0
2023-05-24,12.2,12.43,12.15,12.28,12.28,68073.0
2023-05-25,12.22,12.48,12.18,12.29,12.29,104549.0
2023-05-26,12.3,12.31,11.96,12.29,12.29,133701.0
2023-05-29,12.26,12.29,11.95,12.0,12.0,135909.0
2023-05-30,11.96,12.1,11.92,12.05,12.05,87724.0
2023-05-31,12.05,12.14,12.01,12.04,12.04,77476.0
2023-06-01,12.03,12.12,11.94,11.95,11.95,90757.0
2023-06-02,12.0,12.22,11.99,12.16,12.16,103473.0
2023-06-05,12.22,12.22,11.97,12.08,12.08,78354.0
2023-06-06,12.06,12.06,11.8,11.81,11.81,100844.0
2023-06-07,11.84,11.9,11.6,11.66,11.66,101206.0
2023-06-08,11.62,11.74,11.61,11.68,11.68,66849.0
2023-06-09,11.7,11.76,11.6,11.75,11.75,116408.0
2023-06-12,11.75,11.96,11.67,11.89,11.89,96343.0
2023-06-13,11.88,11.97,11.83,11.92,11.92,61403.0
2023-06-14,11.86,11.92,11.68,11.71,11.71,86404.0
2023-06-15,11.67,12.23,11.67,12.21,12.21,174983.0
2023-06-16,12.25,12.31,12.13,12.25,12.25,110352.0
2023-06-19,12.31,12.44,12.24,12.26,12.26,111558.0
2023-06-20,12.29,12.72,12.2,12.69,12.69,318065.0
2023-06-21,12.95,13.35,12.9,12.97,12.97,595979.0
2023-06-26,12.81,13.22,12.76,12.85,12.85,429365.0
2023-06-27,12.77,13.03,12.49,12.96,12.96,409051.0
2023-06-28,12.92,13.3,12.91,13.22,13.22,429423.0
2023-06-29,13.23,13.97,13.1,13.66,13.66,634833.0
2023-06-30,13.71,14.86,13.67,14.61,14.61,948220.0
2023-07-03,15.03,15.2,14.02,14.51,14.51,775580.0
2023-07-04,14.48,14.87,14.3,14.47,14.47,581740.0
2023-07-05,14.3,14.49,14.08,14.2,14.2,457123.0
2023-07-06,14.18,14.32,13.91,14.12,14.12,425466.0
2023-07-07,14.05,14.11,13.6,13.72,13.72,469064.0
2023-07-10,13.74,13.79,13.55,13.67,13.67,258294.0
2023-07-11,13.74,13.97,13.7,13.91,13.91,282090.0
2023-07-12,13.87,14.03,13.62,13.67,13.67,298991.0
2023-07-13,13.73,13.82,13.65,13.72,13.72,199345.0
2023-07-14,13.73,13.79,13.52,13.55,13.55,192118.0
2023-07-17,13.39,13.46,13.2,13.29,13.29,158263.0
2023-07-18,13.3,13.44,13.15,13.39,13.39,194290.0
2023-07-19,13.38,13.42,13.11,13.18,13.18,165880.0
2023-07-20,13.29,13.29,13.0,13.02,13.02,131176.0
2023-07-21,12.94,13.17,12.92,12.95,12.95,114662.0
2023-07-24,12.88,13.07,12.85,12.91,12.91,73368.0
2023-07-25,13.06,13.19,12.95,13.09,13.09,158531.0
2023-07-26,13.09,13.09,12.78,12.82,12.82,160126.0
2023-07-27,12.99,13.25,12.82,12.85,12.85,191204.0
2023-07-28,12.8,12.97,12.55,12.91,12.91,209093.0
2023-07-31,12.93,13.1,12.9,12.94,12.94,150993.0
2023-08-01,12.93,12.94,12.78,12.83,12.83,112412.0
2023-08-02,12.83,12.96,12.78,12.92,12.92,129517.0
2023-08-03,12.85,12.93,12.74,12.9,12.9,110157.0
2023-08-04,12.88,13.24,12.86,13.12,13.12,202434.0
2023-08-07,13.1,13.15,12.6,12.75,12.75,288493.0
2023-08-08,12.75,12.84,12.62,12.7,12.7,116908.0
2023-08-09,12.65,12.7,12.47,12.54,12.54,113498.0
2023-08-10,12.5,12.66,12.46,12.53,12.53,76514.0
2023-08-11,12.55,12.59,12.23,12.23,12.23,124955.0
2023-08-14,12.11,12.25,12.0,12.24,12.24,131558.0
2023-08-15,12.2,12.29,12.0,12.12,12.12,82072.0
2023-08-16,12.07,12.18,11.96,11.98,11.98,85734.0
2023-08-17,11.92,12.23,11.89,12.17,12.17,140560.0
2023-08-18,12.1,12.23,11.88,11.88,11.88,114542.0
2023-08-21,11.84,11.98,11.76,11.79,11.79,95028.0
2023-08-22,11.81,11.88,11.58,11.82,11.82,113313.0
2023-08-23,11.79,11.79,11.58,11.58,11.58,83641.0
2023-08-24,11.6,11.72,11.5,11.57,11.57,108915.0
2023-08-25,11.54,11.69,11.36,11.42,11.42,127859.0
2023-08-28,12.06,12.06,11.44,11.47,11.47,187986.0
2023-08-29,11.43,12.06,11.43,12.01,12.01,232708.0
2023-08-30,11.99,12.23,11.93,12.08,12.08,178074.0
2023-08-31,12.22,12.38,12.15,12.2,12.2,228924.0
2023-09-01,12.2,12.25,12.1,12.17,12.17,108678.0
2023-09-04,12.22,12.27,12.07,12.26,12.26,151676.0
2023-09-05,12.24,12.36,12.2,12.24,12.24,116824.0
2023-09-06,12.19,12.23,12.1,12.19,12.19,96060.0
2023-09-07,12.19,12.19,11.98,11.99,11.99,113141.0
2023-09-08,11.96,12.11,11.95,11.97,11.97,104375.0
2023-09-11,11.97,12.16,11.92,12.1,12.1,127352.0
2023-09-12,12.11,12.27,12.09,12.17,12.17,125013.0
2023-09-13,12.18,12.18,11.9,11.98,11.98,114083.0
2023-09-14,11.98,11.98,11.72,11.85,11.85,139101.0
2023-09-15,11.85,11.89,11.65,11.69,11.69,147357.0
2023-09-18,11.63,11.94,11.6,11.9,11.9,121837.0
2023-09-19,11.9,11.9,11.64,11.7,11.7,113096.0
2023-09-20,11.69,11.74,11.6,11.62,11.62,82129.0
2023-09-21,11.56,11.67,11.47,11.52,11.52,77962.0
2023-09-22,11.5,11.76,11.49,11.74,11.74,78577.0
2023-09-25,11.74,11.83,11.65,11.7,11.7,99142.0
2023-09-26,11.68,11.76,11.63,11.67,11.67,70557.0
2023-09-27,11.7,11.87,11.63,11.82,11.82,116407.0
2023-09-28,11.83,12.08,11.82,12.03,12.03,121454.0
2023-10-09,12.1,12.16,11.97,12.09,12.09,131775.0
2023-10-10,12.08,12.12,11.91,11.98,11.98,100530.0
2023-10-11,12.0,12.03,11.9,11.93,11.93,109972.0
2023-10-12,12.02,12.15,11.92,12.13,12.13,133440.0
2023-10-13,12.07,12.11,11.97,12.03,12.03,92032.0
2023-10-16,12.09,12.18,11.81,11.9,11.9,109371.0
2023-10-17,11.92,11.92,11.76,11.81,11.81,83679.0
2023-10-18,11.82,11.82,11.63,11.63,11.63,82345.0
2023-10-19,11.61,11.68,11.4,11.46,11.46,96241.0
2023-10-20,11.38,11.58,11.38,11.46,11.46,83641.0
2023-10-23,11.46,11.5,11.0,11.05,11.05,120691.0
2023-10-24,11.08,11.25,11.04,11.19,11.19,106471.0
2023-10-25,11.25,11.53,11.21,11.29,11.29,112066.0
2023-10-26,11.21,11.39,11.09,11.36,11.36,93476.0
2023-10-27,11.35,11.66,11.27,11.59,11.59,125299.0
2023-10-30,11.51,11.65,11.46,11.61,11.61,131633.0
2023-10-31,11.6,11.68,11.19,11.23,11.23,266953.0
2023-11-01,11.25,11.34,11.16,11.26,11.26,128834.0
2023-11-02,11.27,11.29,11.06,11.08,11.08,148329.0
2023-11-03,11.32,11.91,11.31,11.68,11.68,509562.0
2023-11-06,11.78,12.35,11.71,12.2,12.2,519073.0
2023-11-07,12.13,12.44,12.11,12.3,12.3,419152.0
2023-11-08,12.38,12.41,12.11,12.2,12.2,296654.0
2023-11-09,12.15,12.38,11.99,12.12,12.12,322199.0
2023-11-10,12.11,12.11,11.91,11.91,11.91,192634.0
2023-11-13,11.99,12.05,11.88,11.97,11.97,160025.0
