Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,31.53,31.7,31.28,31.3,31.3,161444.0
2023-02-27,31.05,31.22,30.28,31.08,31.08,291701.0
2023-02-28,31.06,31.45,30.81,31.25,31.25,246748.0
2023-03-01,31.3,31.41,30.7,30.96,30.96,285455.0
2023-03-02,30.8,31.16,30.68,30.76,30.76,173073.0
2023-03-03,30.9,31.16,30.6,30.79,30.79,242702.0
2023-03-06,30.8,31.26,30.58,30.84,30.84,261927.0
2023-03-07,30.86,31.75,30.55,30.62,30.62,434235.0
2023-03-08,30.36,30.59,30.05,30.33,30.33,219433.0
2023-03-09,30.34,30.5,29.92,30.12,30.12,209053.0
2023-03-10,29.91,31.02,29.77,30.48,30.48,351607.0
2023-03-13,30.48,31.1,30.43,30.74,30.74,228086.0
2023-03-14,30.79,31.0,30.58,30.89,30.89,202161.0
2023-03-15,31.08,31.15,29.4,29.71,29.71,455166.0
2023-03-16,29.67,30.99,29.59,30.52,30.52,468784.0
2023-03-17,30.47,30.67,29.88,30.67,30.67,562551.0
2023-03-20,30.6,30.6,29.5,30.03,30.03,421097.0
2023-03-21,30.0,30.87,29.83,30.82,30.82,353587.0
2023-03-22,30.94,31.09,30.09,30.36,30.36,320852.0
2023-03-23,30.36,30.88,30.22,30.7,30.7,246065.0
2023-03-24,30.81,31.06,30.26,30.5,30.5,227972.0
2023-03-27,30.37,30.95,30.01,30.59,30.59,276396.0
2023-03-28,30.66,31.65,30.55,31.32,31.32,457492.0
2023-03-29,31.68,31.73,30.79,30.88,30.88,331697.0
2023-03-30,30.93,31.42,30.62,31.2,31.2,236999.0
2023-03-31,31.26,31.4,31.0,31.07,31.07,199413.0
2023-04-03,30.97,30.97,29.8,30.05,30.05,564595.0
2023-04-04,30.05,30.1,29.35,30.08,30.08,396906.0
2023-04-06,30.0,30.26,29.6,29.68,29.68,255698.0
2023-04-07,29.6,30.65,29.56,30.44,30.44,367171.0
2023-04-10,30.44,31.18,30.39,31.1,31.1,366146.0
2023-04-11,32.13,32.76,31.0,31.05,31.05,494514.0
2023-04-12,30.77,31.15,30.51,30.95,30.95,291962.0
2023-04-13,30.6,31.03,30.25,30.42,30.42,282013.0
2023-04-14,30.63,31.4,30.55,30.9,30.9,312136.0
2023-04-17,30.45,30.59,29.8,30.53,30.53,325417.0
2023-04-18,30.25,31.08,30.25,31.02,31.02,337235.0
2023-04-19,30.97,31.09,30.55,30.78,30.78,264074.0
2023-04-20,30.97,30.97,29.05,29.37,29.37,626766.0
2023-04-21,29.07,29.16,28.26,28.29,28.29,571109.0
2023-04-24,28.5,28.65,27.85,28.11,28.11,352346.0
2023-04-25,28.28,29.54,28.14,29.15,29.15,473510.0
2023-04-26,29.0,30.22,28.81,28.91,28.91,535335.0
2023-04-27,28.73,30.25,28.73,29.98,29.98,579927.0
2023-04-28,29.86,29.98,29.29,29.46,29.46,330609.0
2023-05-04,29.46,29.46,28.7,28.99,28.99,329081.0
2023-05-05,28.99,29.12,28.59,28.91,28.91,178007.0
2023-05-08,28.93,29.08,28.46,29.01,29.01,215110.0
2023-05-09,28.94,29.42,28.6,28.65,28.65,248236.0
2023-05-10,28.65,29.34,28.65,29.05,29.05,259619.0
2023-05-11,29.05,29.96,28.79,28.84,28.84,268972.0
2023-05-12,28.89,29.05,28.41,28.7,28.7,192637.0
2023-05-15,28.68,29.49,28.6,29.36,29.36,248818.0
2023-05-16,29.37,30.05,29.37,29.72,29.72,348566.0
2023-05-17,29.6,29.82,29.1,29.23,29.23,169237.0
2023-05-18,29.22,29.86,29.04,29.49,29.49,265548.0
2023-05-19,29.75,29.76,29.18,29.6,29.6,174990.0
2023-05-22,29.77,30.25,29.5,30.02,30.02,222761.0
2023-05-23,30.0,30.1,29.3,29.3,29.3,229481.0
2023-05-24,29.19,29.37,28.82,28.82,28.82,160748.0
2023-05-25,28.83,28.83,28.1,28.27,28.27,236322.0
2023-05-26,28.35,28.47,27.92,28.18,28.18,203026.0
2023-05-29,28.55,29.1,27.62,27.73,27.73,300248.0
2023-05-30,27.71,27.8,26.56,27.18,27.18,433052.0
2023-05-31,27.15,27.24,26.74,26.8,26.8,225576.0
2023-06-01,26.9,27.46,26.72,27.23,27.23,213026.0
2023-06-02,27.5,27.87,27.43,27.61,27.61,238508.0
2023-06-05,27.68,27.76,27.0,27.25,27.25,213817.0
2023-06-06,27.37,27.4,25.93,26.0,26.0,586709.0
2023-06-07,26.01,26.44,25.93,26.05,26.05,303689.0
2023-06-08,20.07,20.1,19.55,19.8,19.8,460954.0
2023-06-09,19.8,19.97,19.61,19.78,19.78,439799.0
2023-06-12,19.65,20.29,19.51,20.08,20.08,419021.0
2023-06-13,20.12,20.65,20.01,20.21,20.21,369387.0
2023-06-14,20.28,20.41,20.1,20.18,20.18,296402.0
2023-06-15,20.32,20.62,20.08,20.49,20.49,427480.0
2023-06-16,20.57,20.65,20.19,20.44,20.44,431109.0
2023-06-19,20.3,20.4,19.9,20.13,20.13,536905.0
2023-06-20,20.2,20.26,19.9,19.92,19.92,350924.0
2023-06-21,19.8,19.95,19.55,19.57,19.57,403307.0
2023-06-26,19.4,19.4,18.66,18.83,18.83,663829.0
2023-06-27,19.0,19.48,18.95,19.18,19.18,422188.0
2023-06-28,19.2,19.31,18.86,18.95,18.95,361183.0
2023-06-29,18.95,18.99,18.43,18.56,18.56,535516.0
2023-06-30,18.54,18.75,18.31,18.55,18.55,388950.0
2023-07-03,18.6,19.06,18.55,18.99,18.99,429178.0
