Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,44.8,45.07,43.31,43.79,43.79,458815.0
2023-02-17,43.7,44.9,43.38,44.17,44.17,395716.0
2023-02-20,44.16,45.45,43.69,45.22,45.22,459923.0
2023-02-21,45.02,45.44,44.3,44.5,44.5,337434.0
2023-02-22,44.4,44.8,44.0,44.11,44.11,222477.0
2023-02-23,44.02,44.32,43.18,43.52,43.52,337062.0
2023-02-24,43.39,44.19,43.09,43.19,43.19,238178.0
2023-02-27,42.9,43.4,42.6,43.13,43.13,270401.0
2023-02-28,43.23,44.43,42.92,43.5,43.5,328495.0
2023-03-01,43.43,44.14,43.18,43.77,43.77,265213.0
2023-03-02,43.49,43.77,42.88,43.19,43.19,230686.0
2023-03-03,43.16,43.98,43.1,43.4,43.4,190156.0
2023-03-06,43.5,43.76,43.08,43.42,43.42,210869.0
2023-03-07,43.4,43.8,42.11,42.12,42.12,334387.0
2023-03-08,42.11,42.33,41.59,41.96,41.96,270510.0
2023-03-09,41.93,42.23,41.7,41.73,41.73,176774.0
2023-03-10,41.36,42.21,41.33,41.86,41.86,208268.0
2023-03-13,41.53,41.9,41.21,41.42,41.42,254689.0
2023-03-14,41.42,42.46,41.28,41.48,41.48,331395.0
2023-03-15,41.85,42.27,41.26,41.38,41.38,212096.0
2023-03-16,41.15,41.95,41.06,41.19,41.19,184248.0
2023-03-17,41.55,41.79,40.7,40.82,40.82,387716.0
2023-03-20,40.88,41.09,40.09,40.4,40.4,335133.0
2023-03-21,40.35,41.78,40.35,41.6,41.6,333897.0
2023-03-22,41.61,42.76,41.61,42.63,42.63,331144.0
2023-03-23,42.59,42.96,42.29,42.67,42.67,262656.0
2023-03-24,42.6,42.87,41.63,41.7,41.7,259856.0
2023-03-27,41.7,43.3,40.9,43.28,43.28,469301.0
2023-03-28,43.09,43.2,42.32,43.0,43.0,261611.0
2023-03-29,43.35,43.46,42.78,43.16,43.16,183576.0
2023-03-30,43.16,43.25,42.51,43.01,43.01,206747.0
2023-03-31,43.01,43.44,42.5,42.82,42.82,220698.0
2023-04-03,42.65,43.18,42.4,42.56,42.56,244114.0
2023-04-04,42.56,43.16,42.1,43.15,43.15,338527.0
2023-04-06,43.2,43.25,42.3,42.78,42.78,280353.0
2023-04-07,42.79,45.3,42.79,45.15,45.15,670009.0
2023-04-10,45.15,46.69,44.9,46.27,46.27,662720.0
2023-04-11,46.2,46.66,45.72,46.01,46.01,327026.0
2023-04-12,46.1,47.35,45.56,45.63,45.63,336009.0
2023-04-13,45.63,47.75,45.47,47.35,47.35,646011.0
2023-04-14,47.94,48.63,47.0,47.72,47.72,604880.0
2023-04-17,47.8,50.3,47.8,49.29,49.29,803312.0
2023-04-18,49.3,49.7,48.38,48.93,48.93,376306.0
2023-04-19,48.8,49.2,48.41,48.66,48.66,267820.0
2023-04-20,48.5,48.91,47.53,47.8,47.8,414766.0
2023-04-21,47.8,48.35,47.32,47.32,47.32,408355.0
2023-04-24,47.33,49.32,47.33,48.35,48.35,603105.0
2023-04-25,48.35,48.96,47.28,47.98,47.98,438672.0
2023-04-26,48.0,48.77,47.02,48.2,48.2,360255.0
2023-04-27,48.18,48.75,47.41,48.2,48.2,400538.0
2023-04-28,48.2,48.95,47.83,48.65,48.65,282983.0
2023-05-04,48.55,49.9,48.48,49.27,49.27,432507.0
2023-05-05,49.38,49.48,47.08,47.47,47.47,422608.0
2023-05-08,47.47,47.6,46.07,46.51,46.51,468052.0
2023-05-09,46.39,46.82,45.7,45.93,45.93,289536.0
2023-05-10,46.0,46.7,45.65,46.35,46.35,251665.0
2023-05-11,46.35,47.99,46.21,46.43,46.43,286218.0
2023-05-12,46.44,46.87,45.37,45.51,45.51,363767.0
2023-05-15,45.51,47.61,45.5,47.44,47.44,326025.0
2023-05-16,49.1,49.71,48.7,49.13,49.13,588846.0
2023-05-17,49.25,49.35,48.16,48.5,48.5,271331.0
2023-05-18,48.5,48.87,47.78,48.02,48.02,229022.0
2023-05-19,48.08,49.75,48.08,49.13,49.13,341093.0
2023-05-22,49.18,50.2,48.33,48.7,48.7,291330.0
2023-05-23,48.75,49.9,48.74,49.1,49.1,328983.0
2023-05-24,49.1,49.18,47.63,47.96,47.96,287120.0
2023-05-25,47.67,48.25,47.18,48.06,48.06,183705.0
2023-05-26,47.95,49.05,47.89,48.4,48.4,174986.0
2023-05-29,48.45,49.03,47.83,48.3,48.3,218625.0
2023-05-30,48.3,49.2,47.3,48.29,48.29,347627.0
2023-05-31,48.5,48.63,45.01,45.55,45.55,859349.0
2023-06-01,45.56,46.89,45.45,45.93,45.93,458276.0
2023-06-02,46.18,46.84,45.87,46.03,46.03,286950.0
2023-06-05,46.2,46.9,46.04,46.5,46.5,270911.0
2023-06-06,46.54,47.17,46.15,46.31,46.31,267820.0
2023-06-07,46.3,46.69,45.35,45.5,45.5,248218.0
2023-06-08,45.5,45.68,44.85,45.59,45.59,223284.0
2023-06-09,45.34,46.15,45.11,45.79,45.79,314957.0
2023-06-12,45.63,45.63,43.7,44.7,44.7,499494.0
2023-06-13,44.61,45.34,44.27,45.0,45.0,196180.0
2023-06-14,45.1,46.38,44.82,46.0,46.0,411556.0
2023-06-15,46.4,46.99,46.04,46.93,46.93,317301.0
2023-06-16,46.8,48.48,46.7,47.5,47.5,380344.0
2023-06-19,47.5,47.88,46.63,46.88,46.88,218127.0
2023-06-20,46.97,47.49,46.7,46.78,46.78,148967.0
2023-06-21,46.51,47.17,46.4,46.4,46.4,170863.0
2023-06-26,46.28,47.08,45.68,46.36,46.36,214000.0
2023-06-27,46.18,46.8,45.83,45.95,45.95,189784.0
2023-06-28,46.13,46.4,45.71,46.2,46.2,215203.0
2023-06-29,46.15,47.44,46.1,47.05,47.05,302950.0
2023-06-30,46.9,48.48,46.86,47.9,47.9,283562.0
2023-07-03,47.92,47.92,47.03,47.36,47.36,203984.0
