Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,33.21,34.0,32.77,33.03,33.03,568233.0
2023-02-17,33.03,33.38,31.68,31.75,31.75,462611.0
2023-02-20,31.6,31.75,30.33,31.3,31.3,722956.0
2023-02-21,31.27,31.8,31.14,31.46,31.46,345133.0
2023-02-22,31.11,31.2,30.36,30.76,30.76,502283.0
2023-02-23,30.78,32.3,30.68,31.71,31.71,724184.0
2023-02-24,31.78,31.78,30.85,31.0,31.0,436739.0
2023-02-27,30.99,31.16,29.8,30.0,30.0,786452.0
2023-02-28,29.98,30.5,29.75,29.94,29.94,459716.0
2023-03-01,30.02,30.93,29.95,30.9,30.9,610366.0
2023-03-02,30.8,30.95,30.46,30.51,30.51,318177.0
2023-03-03,30.65,30.78,30.0,30.25,30.25,386984.0
2023-03-06,30.25,30.32,29.8,30.01,30.01,350003.0
2023-03-07,29.92,29.97,29.2,29.33,29.33,408459.0
2023-03-08,29.11,29.25,28.95,29.13,29.13,347282.0
2023-03-09,29.2,29.42,28.93,29.28,29.28,303626.0
2023-03-10,29.0,29.2,28.75,28.8,28.8,346353.0
2023-03-13,28.68,28.93,28.43,28.8,28.8,341557.0
2023-03-14,28.8,28.84,27.8,28.33,28.33,564230.0
2023-03-15,28.5,29.28,28.43,28.74,28.74,460083.0
2023-03-16,28.45,28.65,27.68,27.72,27.72,529271.0
2023-03-17,28.01,28.32,27.5,27.59,27.59,447194.0
2023-03-20,27.6,28.29,27.2,27.9,27.9,659259.0
2023-03-21,28.0,28.24,27.71,28.24,28.24,364743.0
2023-03-22,28.25,28.96,28.11,28.86,28.86,497796.0
2023-03-23,28.8,29.85,28.65,29.33,29.33,770091.0
2023-03-24,29.88,31.51,29.83,31.3,31.3,1789400.0
2023-03-27,31.3,31.9,30.5,31.0,31.0,1025540.0
2023-03-28,30.89,30.98,29.63,29.77,29.77,818462.0
2023-03-29,30.16,30.65,30.0,30.2,30.2,521265.0
2023-03-30,30.74,30.99,29.85,30.45,30.45,482366.0
2023-03-31,30.0,30.54,29.8,30.31,30.31,414670.0
2023-04-03,30.31,30.72,30.19,30.58,30.58,516530.0
2023-04-04,30.6,31.07,30.45,30.77,30.77,669319.0
2023-04-06,30.4,31.95,30.27,31.3,31.3,836330.0
2023-04-07,31.13,31.65,30.9,31.1,31.1,468841.0
2023-04-10,31.1,31.96,30.51,30.73,30.73,620843.0
2023-04-11,30.21,30.85,30.08,30.46,30.46,438224.0
2023-04-12,31.06,32.1,31.06,32.02,32.02,1206190.0
2023-04-13,31.76,31.97,30.43,30.53,30.53,754106.0
2023-04-14,30.61,30.75,30.17,30.57,30.57,417883.0
2023-04-17,30.4,30.4,29.48,29.69,29.69,728515.0
2023-04-18,29.3,29.75,29.09,29.53,29.53,412440.0
2023-04-19,29.5,29.57,28.72,28.87,28.87,550958.0
2023-04-20,28.92,29.19,28.39,28.62,28.62,505491.0
2023-04-21,28.89,29.25,27.62,27.72,27.72,757593.0
2023-04-24,27.72,27.84,26.83,27.0,27.0,822201.0
2023-04-25,26.9,27.05,25.76,26.02,26.02,820436.0
2023-04-26,26.05,27.28,26.03,26.64,26.64,726717.0
2023-04-27,26.37,26.38,25.0,25.15,25.15,1401280.0
2023-04-28,26.2,26.74,25.78,26.1,26.1,1072720.0
2023-05-04,26.05,26.07,25.49,25.62,25.62,589504.0
2023-05-05,25.62,25.91,25.38,25.84,25.84,534810.0
2023-05-08,26.0,26.04,25.46,25.6,25.6,506523.0
2023-05-09,25.61,26.88,25.27,26.39,26.39,970378.0
2023-05-10,26.15,26.65,25.9,26.6,26.6,652148.0
2023-05-11,26.6,26.97,26.38,26.53,26.53,488514.0
2023-05-12,26.39,26.53,26.15,26.38,26.38,380448.0
2023-05-15,26.42,26.85,26.15,26.8,26.8,539800.0
2023-05-16,27.38,27.5,26.66,26.86,26.86,641277.0
2023-05-17,26.99,27.8,26.88,27.67,27.67,839291.0
2023-05-18,27.66,28.14,27.41,27.5,27.5,681207.0
2023-05-19,28.3,28.53,27.78,28.12,28.12,967382.0
2023-05-22,28.1,28.43,27.64,27.85,27.85,503078.0
2023-05-23,27.78,28.12,27.53,27.66,27.66,370066.0
2023-05-24,27.44,28.18,27.32,27.84,27.84,442263.0
2023-05-25,27.74,27.96,27.4,27.68,27.68,334230.0
2023-05-26,27.63,27.67,27.07,27.45,27.45,345479.0
2023-05-29,27.6,27.79,27.2,27.35,27.35,325512.0
2023-05-30,27.26,27.66,26.85,27.65,27.65,469580.0
2023-05-31,27.59,27.84,27.15,27.3,27.3,475608.0
2023-06-01,27.31,28.88,27.27,28.5,28.5,1201980.0
