Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,1841.34,1887.0,1828.0,1861.82,1861.82,33246.0
2023-02-17,1850.16,1873.0,1820.05,1820.78,1820.78,26443.0
2023-02-20,1821.0,1878.8,1817.2,1875.0,1875.0,29669.0
2023-02-21,1874.0,1874.0,1851.0,1867.0,1867.0,18751.0
2023-02-22,1855.01,1863.9,1831.8,1836.0,1836.0,21869.0
2023-02-23,1840.0,1848.8,1805.25,1818.0,1818.0,21881.0
2023-02-24,1810.11,1810.19,1782.18,1788.0,1788.0,24635.0
2023-02-27,1778.5,1815.0,1775.02,1810.41,1810.41,22065.0
2023-02-28,1819.0,1822.01,1783.3,1813.74,1813.74,23952.0
2023-03-01,1813.0,1848.0,1803.23,1838.53,1838.53,24458.0
2023-03-02,1829.0,1838.99,1821.1,1828.0,1828.0,13144.0
2023-03-03,1839.77,1841.61,1802.48,1818.04,1818.04,16198.0
2023-03-06,1818.18,1818.5,1796.77,1807.14,1807.14,20646.0
2023-03-07,1805.98,1816.6,1788.0,1788.3,1788.3,22785.0
2023-03-08,1780.02,1785.94,1761.12,1770.42,1770.42,22764.0
2023-03-09,1768.0,1785.0,1740.0,1770.02,1770.02,27612.0
2023-03-10,1751.57,1781.0,1750.0,1750.0,1750.0,21161.0
2023-03-13,1751.0,1775.0,1749.0,1762.0,1762.0,20560.0
2023-03-14,1763.78,1779.88,1738.5,1766.0,1766.0,23705.0
2023-03-15,1778.37,1784.88,1750.12,1750.92,1750.92,19213.0
2023-03-16,1740.0,1770.0,1739.01,1751.99,1751.99,17646.0
2023-03-17,1770.0,1775.89,1736.0,1742.0,1742.0,27023.0
2023-03-20,1751.0,1755.0,1728.0,1729.6,1729.6,20491.0
2023-03-21,1735.0,1785.85,1723.97,1775.0,1775.0,31142.0
2023-03-22,1780.0,1793.0,1765.55,1773.35,1773.35,15330.0
2023-03-23,1766.0,1791.11,1765.01,1774.86,1774.86,17356.0
2023-03-24,1769.08,1783.6,1766.0,1778.62,1778.62,12770.0
2023-03-27,1778.6,1778.6,1756.0,1767.79,1767.79,15296.0
2023-03-28,1770.0,1790.0,1765.02,1781.8,1781.8,17261.0
2023-03-29,1799.0,1800.0,1785.07,1790.0,1790.0,15393.0
2023-03-30,1793.0,1805.0,1779.0,1800.0,1800.0,19257.0
2023-03-31,1825.0,1848.0,1819.0,1820.0,1820.0,27446.0
2023-04-03,1825.0,1827.77,1800.08,1802.07,1802.07,21417.0
2023-04-04,1812.0,1815.17,1787.0,1814.59,1814.59,20066.0
2023-04-06,1805.0,1815.9,1788.22,1796.96,1796.96,14874.0
2023-04-07,1795.0,1806.01,1788.34,1790.99,1790.99,13525.0
2023-04-10,1790.88,1790.88,1744.0,1771.7,1771.7,29418.0
2023-04-11,1793.0,1793.0,1744.0,1745.5,1745.5,29209.0
2023-04-12,1747.26,1750.0,1692.82,1694.1,1694.1,51105.0
2023-04-13,1690.0,1723.59,1684.01,1723.0,1723.0,29543.0
2023-04-14,1726.0,1733.0,1704.8,1713.42,1713.42,21232.0
2023-04-17,1740.0,1753.0,1728.0,1753.0,1753.0,30467.0
2023-04-18,1753.0,1769.0,1746.02,1758.0,1758.0,18314.0
2023-04-19,1762.0,1765.5,1750.0,1759.0,1759.0,14601.0
2023-04-20,1760.11,1765.0,1729.0,1741.88,1741.88,19885.0
2023-04-21,1746.0,1748.08,1721.28,1725.47,1725.47,18518.0
2023-04-24,1721.0,1722.0,1701.0,1705.0,1705.0,20231.0
2023-04-25,1706.0,1735.98,1702.0,1730.38,1730.38,20583.0
2023-04-26,1744.0,1761.0,1720.0,1743.91,1743.91,27892.0
2023-04-27,1748.0,1770.0,1730.0,1757.92,1757.92,25605.0
2023-04-28,1763.01,1782.77,1753.97,1760.52,1760.52,26225.0
2023-05-04,1769.0,1777.67,1736.0,1749.9,1749.9,27466.0
2023-05-05,1766.0,1766.0,1736.39,1750.0,1750.0,20714.0
2023-05-08,1768.32,1769.0,1717.17,1720.52,1720.52,33171.0
2023-05-09,1715.0,1739.98,1707.07,1722.0,1722.0,29378.0
2023-05-10,1715.19,1736.0,1715.0,1725.0,1725.0,20773.0
2023-05-11,1731.0,1735.0,1715.0,1717.07,1717.07,15246.0
2023-05-12,1715.0,1729.88,1705.01,1706.4,1706.4,19460.0
2023-05-15,1702.0,1717.0,1691.2,1716.3,1716.3,25740.0
2023-05-16,1713.99,1719.99,1697.0,1703.29,1703.29,22224.0
2023-05-17,1708.0,1713.0,1699.01,1701.0,1701.0,16777.0
2023-05-18,1704.99,1705.4,1690.0,1691.0,1691.0,19219.0
2023-05-19,1671.0,1704.33,1655.55,1699.5,1699.5,26741.0
2023-05-22,1690.01,1752.0,1690.0,1746.0,1746.0,41284.0
2023-05-23,1753.99,1754.0,1724.55,1724.55,1724.55,16894.0
2023-05-24,1732.33,1733.55,1710.11,1710.9,1710.9,18479.0
2023-05-25,1705.99,1710.0,1690.0,1701.0,1701.0,22466.0
2023-05-26,1702.0,1705.0,1675.01,1690.56,1690.56,18291.0
2023-05-29,1697.0,1698.35,1678.0,1689.0,1689.0,17771.0
2023-05-30,1689.0,1698.89,1658.56,1668.29,1668.29,26453.0
2023-05-31,1661.01,1665.72,1626.67,1628.9,1628.9,36957.0
2023-06-01,1618.0,1674.99,1618.0,1635.92,1635.92,28645.0
2023-06-02,1645.0,1673.15,1636.11,1670.6,1670.6,25058.0
2023-06-05,1666.16,1682.88,1663.0,1665.0,1665.0,16201.0
2023-06-06,1670.0,1684.0,1651.55,1666.99,1666.99,19914.0
2023-06-07,1672.99,1678.8,1650.0,1650.9,1650.9,17890.0
2023-06-08,1655.83,1675.0,1650.01,1668.0,1668.0,14703.0
2023-06-09,1671.99,1677.97,1666.0,1666.0,1666.0,17580.0
2023-06-12,1666.02,1708.0,1661.52,1696.0,1696.0,27029.0
2023-06-13,1693.88,1704.61,1685.0,1699.0,1699.0,14663.0
2023-06-14,1719.0,1734.24,1706.21,1726.88,1726.88,31506.0
2023-06-15,1730.34,1755.65,1723.0,1755.0,1755.0,25223.0
2023-06-16,1757.0,1800.0,1750.1,1797.69,1797.69,37918.0
2023-06-19,1790.0,1797.95,1738.0,1744.0,1744.0,31700.0
2023-06-20,1740.0,1765.0,1735.0,1743.46,1743.46,20947.0
2023-06-21,1740.0,1756.6,1735.0,1735.83,1735.83,17721.0
2023-06-26,1720.11,1730.0,1695.0,1709.0,1709.0,23993.0
2023-06-27,1709.99,1719.7,1700.09,1711.05,1711.05,15174.0
2023-06-28,1713.18,1734.0,1711.0,1728.38,1728.38,18574.0
2023-06-29,1731.0,1734.99,1713.01,1713.71,1713.71,14231.0
2023-06-30,1700.0,1708.99,1686.48,1691.0,1691.0,20459.0
2023-07-03,1699.0,1725.28,1692.0,1724.1,1724.1,19139.0
2023-07-04,1724.2,1734.44,1718.08,1730.6,1730.6,12472.0
2023-07-05,1730.0,1731.97,1700.0,1715.38,1715.38,14745.0
2023-07-06,1709.16,1733.0,1700.0,1702.98,1702.98,15141.0
2023-07-07,1701.0,1708.99,1690.0,1690.03,1690.03,15167.0
2023-07-10,1705.0,1714.96,1700.0,1700.9,1700.9,13477.0
2023-07-11,1710.0,1715.17,1702.1,1710.0,1710.0,12583.0
2023-07-12,1713.04,1723.0,1711.33,1713.8,1713.8,13285.0
2023-07-13,1721.99,1745.41,1719.01,1738.4,1738.4,25807.0
2023-07-14,1756.0,1758.5,1741.2,1753.0,1753.0,18550.0
2023-07-17,1751.0,1751.0,1726.6,1729.97,1729.97,14336.0
2023-07-18,1733.58,1734.51,1721.0,1722.8,1722.8,14738.0
2023-07-19,1715.01,1728.0,1713.8,1723.0,1723.0,12483.0
2023-07-20,1727.99,1748.98,1722.0,1724.0,1724.0,16693.0
2023-07-21,1731.88,1772.5,1726.0,1771.3,1771.3,39377.0
2023-07-24,1750.52,1771.15,1750.52,1771.15,1771.15,19713.0
2023-07-25,1800.0,1828.88,1799.99,1828.55,1828.55,43086.0
2023-07-26,1828.55,1835.99,1815.08,1828.55,1828.55,19611.0
2023-07-27,1836.0,1854.79,1828.7,1838.03,1838.03,20340.0
2023-07-28,1832.0,1900.0,1828.01,1897.0,1897.0,39018.0
2023-07-31,1908.0,1935.0,1874.0,1880.58,1880.58,45379.0
2023-08-01,1878.01,1906.95,1877.89,1889.0,1889.0,19231.0
2023-08-02,1883.4,1890.0,1866.8,1880.0,1880.0,18509.0
2023-08-03,1870.0,1890.0,1850.5,1878.47,1878.47,21543.0
2023-08-04,1887.82,1906.52,1882.0,1893.47,1893.47,24574.0
2023-08-07,1880.95,1898.0,1871.03,1887.93,1887.93,23892.0
2023-08-08,1880.03,1893.71,1864.08,1890.0,1890.0,17736.0
2023-08-09,1890.0,1905.0,1882.96,1890.28,1890.28,18523.0
2023-08-10,1882.0,1889.0,1862.3,1875.0,1875.0,18436.0
2023-08-11,1885.0,1885.4,1833.88,1834.0,1834.0,26786.0
2023-08-14,1810.0,1824.98,1796.0,1803.0,1803.0,23731.0
2023-08-15,1809.0,1818.0,1801.01,1812.98,1812.98,14818.0
2023-08-16,1807.58,1823.35,1806.0,1820.0,1820.0,13184.0
