Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,55.25,55.84,54.66,55.2,55.2,197415.0
2023-03-06,54.84,55.0,53.81,53.83,53.83,259357.0
2023-03-07,53.84,54.37,52.7,52.86,52.86,194738.0
2023-03-08,52.65,52.8,52.07,52.29,52.29,144948.0
2023-03-09,52.29,53.25,52.27,52.7,52.7,130131.0
2023-03-10,52.24,52.5,51.02,51.15,51.15,192134.0
2023-03-13,51.01,52.24,51.0,52.06,52.06,194837.0
2023-03-14,51.72,51.91,50.7,51.15,51.15,165011.0
2023-03-15,51.5,51.63,50.4,50.46,50.46,209456.0
2023-03-16,50.08,50.39,49.65,50.04,50.04,121820.0
2023-03-17,50.5,51.18,50.06,50.33,50.33,201231.0
2023-03-20,50.18,51.13,50.1,50.44,50.44,163015.0
2023-03-21,50.55,52.14,50.55,52.1,52.1,231466.0
2023-03-22,52.2,52.27,51.3,51.7,51.7,135542.0
2023-03-23,51.48,52.0,51.39,51.82,51.82,123790.0
2023-03-24,51.82,52.17,51.64,52.09,52.09,132776.0
2023-03-27,52.09,52.46,51.7,51.85,51.85,127683.0
2023-03-28,51.7,52.08,51.06,51.09,51.09,128679.0
2023-03-29,51.38,51.57,51.1,51.4,51.4,128030.0
2023-03-30,51.35,54.8,51.3,54.47,54.47,571574.0
2023-03-31,54.11,54.62,53.36,53.81,53.81,277888.0
2023-04-03,55.0,55.4,54.2,54.69,54.69,373915.0
2023-04-04,54.5,54.72,53.75,54.63,54.63,179891.0
2023-04-06,54.42,55.0,53.75,54.02,54.02,152435.0
2023-04-07,53.91,55.27,53.91,54.68,54.68,158641.0
2023-04-10,54.4,55.06,54.01,54.76,54.76,156493.0
2023-04-11,54.41,56.37,54.4,55.84,55.84,324366.0
2023-04-12,55.84,56.75,55.4,55.5,55.5,223025.0
2023-04-13,55.05,55.29,54.14,54.14,54.14,182595.0
2023-04-14,54.18,54.65,53.83,53.94,53.94,142124.0
2023-04-17,53.91,55.58,53.89,55.42,55.42,262280.0
2023-04-18,55.2,57.4,55.17,56.78,56.78,387063.0
2023-04-19,56.78,57.25,56.05,56.08,56.08,191887.0
2023-04-20,56.18,58.04,56.18,57.04,57.04,367949.0
2023-04-21,57.4,58.6,56.75,56.85,56.85,398924.0
2023-04-24,56.2,58.75,56.01,57.03,57.03,339921.0
2023-04-25,57.0,58.04,55.65,57.65,57.65,429621.0
2023-04-26,57.02,57.35,55.97,56.7,56.7,239342.0
2023-04-27,56.17,57.75,56.17,57.26,57.26,157771.0
2023-04-28,57.25,57.35,56.21,56.78,56.78,156906.0
2023-05-04,57.22,58.45,55.85,56.58,56.58,268566.0
2023-05-05,56.4,56.4,54.08,55.33,55.33,342123.0
