Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,99.98,100.8,98.5,99.0,99.0,78569.0
2023-02-17,99.2,103.18,99.2,101.61,101.61,189711.0
2023-02-20,101.71,104.47,100.58,104.01,104.01,157291.0
2023-02-21,103.96,108.0,103.41,106.8,106.8,160754.0
2023-02-22,106.01,107.26,102.98,103.2,103.2,150165.0
2023-02-23,103.1,104.43,101.81,102.69,102.69,113987.0
2023-02-24,102.14,103.28,101.5,101.74,101.74,83447.0
2023-02-27,101.33,104.98,101.08,102.85,102.85,146275.0
2023-02-28,103.45,104.9,102.56,104.26,104.26,120780.0
2023-03-01,104.2,105.78,102.58,103.21,103.21,123237.0
2023-03-02,103.17,107.15,103.01,106.33,106.33,135221.0
2023-03-03,105.5,107.0,105.29,106.01,106.01,81164.0
2023-03-06,105.0,106.0,103.57,104.1,104.1,107824.0
2023-03-07,103.89,104.98,102.31,102.65,102.65,86129.0
2023-03-08,102.2,102.58,100.44,100.99,100.99,112912.0
2023-03-09,100.68,101.5,98.61,99.09,99.09,134120.0
2023-03-10,98.7,99.99,98.1,98.24,98.24,99602.0
2023-03-13,98.9,101.38,98.6,99.0,99.0,89229.0
2023-03-14,98.88,98.99,96.8,98.21,98.21,73614.0
2023-03-15,100.09,100.5,97.69,97.72,97.72,71496.0
2023-03-16,97.5,98.23,96.5,96.75,96.75,102665.0
2023-03-17,98.28,99.68,97.01,97.42,97.42,100549.0
2023-03-20,97.9,99.5,96.91,97.08,97.08,109238.0
2023-03-21,96.87,98.9,96.55,98.02,98.02,82920.0
2023-03-22,98.22,99.72,97.5,97.85,97.85,78276.0
2023-03-23,97.86,98.1,96.5,97.11,97.11,78148.0
2023-03-24,96.57,97.01,94.28,95.6,95.6,126104.0
2023-03-27,95.8,96.86,94.5,94.88,94.88,121703.0
2023-03-28,96.5,98.57,94.63,95.85,95.85,147250.0
2023-03-29,97.0,97.73,94.68,94.98,94.98,79821.0
2023-03-30,94.88,96.5,94.0,96.43,96.43,87615.0
2023-03-31,96.6,97.97,95.45,95.88,95.88,109079.0
2023-04-03,96.36,96.66,94.88,95.82,95.82,93115.0
