Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,51.02,51.39,48.98,49.17,49.17,85554.0
2019-01-03,49.26,49.87,47.98,48.06,48.06,83478.0
2019-01-04,47.8,51.0,47.51,50.65,50.65,126538.0
2019-01-07,50.85,51.88,50.0,51.39,51.39,136046.0
2019-01-08,52.3,53.64,52.05,52.88,52.88,147052.0
2019-01-09,51.8,53.0,48.5,50.46,50.46,262205.0
2019-01-10,49.9,50.19,48.64,48.85,48.85,153456.0
2019-01-11,48.5,49.29,48.38,49.02,49.02,96800.0
2019-01-14,49.2,49.21,47.31,48.8,48.8,109746.0
2019-01-15,48.39,48.96,47.85,48.8,48.8,83531.0
2019-01-16,48.8,49.12,48.32,48.93,48.93,65924.0
2019-01-17,48.9,48.91,47.33,47.49,47.49,98744.0
2019-01-18,47.49,47.49,46.04,46.82,46.82,125996.0
2019-01-21,46.76,48.26,46.12,48.21,48.21,131233.0
2019-01-22,48.06,48.8,47.6,47.7,47.7,84094.0
2019-01-23,47.42,48.88,47.33,48.8,48.8,96620.0
2019-01-24,48.93,48.97,47.66,48.52,48.52,71712.0
2019-01-25,48.55,49.64,48.19,49.18,49.18,100929.0
2019-01-28,49.2,49.85,48.28,48.46,48.46,86254.0
2019-01-29,48.45,48.45,47.03,48.0,48.0,61503.0
2019-01-30,47.95,48.27,46.9,47.15,47.15,83426.0
2019-01-31,47.1,47.49,46.27,46.42,46.42,71885.0
2019-02-01,46.75,48.31,46.51,48.27,48.27,91780.0
2019-02-11,48.8,50.33,48.8,50.2,50.2,128871.0
2019-02-12,50.21,51.15,49.88,50.58,50.58,102992.0
2019-02-13,50.58,52.09,50.32,51.57,51.57,122965.0
2019-02-14,51.85,54.06,51.85,53.72,53.72,169124.0
2019-02-15,53.4,53.4,51.52,51.67,51.67,152916.0
2019-02-18,51.93,52.79,51.64,52.45,52.45,168185.0
2019-02-19,52.5,52.66,50.99,51.74,51.74,144365.0
2019-02-20,51.8,52.8,51.54,52.36,52.36,124999.0
2019-02-21,52.3,53.01,51.56,51.94,51.94,126056.0
