Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,74.25,74.97,73.53,73.66,73.66,43941.0
2019-01-03,72.51,74.54,72.51,73.83,73.83,44949.0
2019-01-04,73.33,77.24,73.23,76.96,76.96,79053.0
2019-01-07,76.94,77.65,76.3,77.42,77.42,59696.0
2019-01-08,77.22,79.45,77.2,79.33,79.33,85750.0
2019-01-09,77.0,78.21,75.18,77.98,77.98,123799.0
2019-01-10,77.64,77.85,76.02,76.28,76.28,83943.0
2019-01-11,76.6,76.75,74.8,75.29,75.29,61367.0
2019-01-14,75.3,76.33,74.3,76.08,76.08,48488.0
2019-01-15,76.0,77.48,74.85,77.37,77.37,58736.0
2019-01-16,76.9,77.2,76.41,76.67,76.67,25739.0
2019-01-17,76.95,77.69,76.41,76.66,76.66,37188.0
2019-01-18,77.16,77.16,74.0,75.4,75.4,65039.0
2019-01-21,75.03,75.63,74.26,75.24,75.24,52412.0
2019-01-22,75.0,75.67,74.03,74.27,74.27,42589.0
2019-01-23,74.26,75.66,74.01,75.44,75.44,48848.0
2019-01-24,75.0,75.86,74.7,75.17,75.17,37984.0
2019-01-25,75.64,78.79,75.17,77.44,77.44,91190.0
2019-01-28,78.1,78.26,76.02,76.07,76.07,46289.0
2019-01-29,76.26,77.39,74.1,76.68,76.68,52363.0
2019-01-30,74.33,77.36,73.61,76.2,76.2,77078.0
2019-01-31,76.27,77.77,76.05,76.12,76.12,44128.0
2019-02-01,76.67,79.17,76.2,78.4,78.4,62144.0
2019-02-11,78.99,81.38,78.98,81.0,81.0,83433.0
2019-02-12,80.5,81.6,80.03,81.0,81.0,49891.0
2019-02-13,80.8,83.57,80.37,81.7,81.7,78772.0
2019-02-14,81.5,88.88,81.35,84.72,84.72,127233.0
2019-02-15,84.4,86.0,82.4,82.42,82.42,105153.0
2019-02-18,83.15,84.88,82.56,84.46,84.46,87787.0
2019-02-19,84.66,84.78,81.8,82.29,82.29,94258.0
2019-02-20,82.8,84.5,82.1,83.17,83.17,60674.0
2019-02-21,82.7,84.87,82.3,83.33,83.33,82288.0
2019-02-22,83.0,85.3,82.11,84.37,84.37,89600.0
2019-02-25,85.77,91.66,85.77,91.32,91.32,154113.0
2019-02-26,90.0,90.8,87.68,88.5,88.5,113242.0
2019-02-27,87.7,89.39,85.3,86.05,86.05,91038.0
2019-02-28,86.01,89.18,86.01,87.7,87.7,72399.0
2019-03-01,91.1,92.88,89.4,90.03,90.03,96193.0
2019-03-04,91.5,95.16,90.73,92.39,92.39,140369.0
2019-03-05,92.38,92.98,91.2,92.6,92.6,86157.0
2019-03-06,93.12,93.8,89.38,91.2,91.2,104329.0
2019-03-07,90.85,90.85,86.68,87.89,87.89,137071.0
2019-03-08,86.0,88.3,84.72,84.97,84.97,110697.0
2019-03-11,84.73,88.18,84.55,87.92,87.92,93547.0
2019-03-12,91.6,93.85,89.21,91.07,91.07,147634.0
2019-03-13,90.99,90.99,87.71,88.08,88.08,75777.0
2019-03-14,87.98,90.48,87.32,88.95,88.95,79826.0
2019-03-15,90.01,91.4,88.97,89.83,89.83,78215.0
2019-03-18,89.89,90.0,87.9,89.28,89.28,72758.0
2019-03-19,89.15,91.88,88.0,88.6,88.6,68170.0
2019-03-20,88.5,88.5,85.82,87.17,87.17,88141.0
2019-03-21,87.0,88.4,85.95,87.12,87.12,81360.0
2019-03-22,87.12,87.12,85.21,86.58,86.58,60190.0
2019-03-25,87.97,90.58,87.02,89.0,89.0,129906.0
2019-03-26,88.02,88.49,84.9,85.3,85.3,97198.0
2019-03-27,85.5,86.54,82.3,83.41,83.41,94921.0
2019-03-28,83.34,84.36,82.1,83.2,83.2,58572.0
2019-03-29,83.42,85.0,82.65,85.0,85.0,71241.0
2019-04-01,85.16,86.96,85.0,86.35,86.35,92391.0
2019-04-02,86.35,86.43,84.33,84.98,84.98,102413.0
2019-04-03,84.8,85.2,83.88,84.48,84.48,71840.0
2019-04-04,84.63,85.16,84.0,84.17,84.17,66796.0
2019-04-08,84.71,84.9,81.1,82.29,82.29,113770.0
2019-04-09,84.76,85.25,82.9,83.91,83.91,119423.0
2019-04-10,83.81,83.81,81.7,82.24,82.24,108408.0
2019-04-11,82.25,82.6,80.58,80.72,80.72,89538.0
2019-04-12,80.92,82.61,80.91,81.98,81.98,59357.0
2019-04-15,82.8,83.01,80.95,80.97,80.97,59951.0
2019-04-16,80.5,82.27,80.37,82.27,82.27,57187.0
2019-04-17,83.5,86.28,83.5,86.11,86.11,205005.0
2019-04-18,86.12,86.3,84.42,84.65,84.65,70618.0
2019-04-19,84.52,84.99,82.9,83.2,83.2,62968.0
2019-04-22,83.21,83.6,81.03,81.23,81.23,66492.0
2019-04-23,80.5,80.65,75.01,78.17,78.17,115259.0
2019-04-24,78.18,79.86,77.4,79.78,79.78,51344.0
2019-04-25,78.59,80.86,78.1,79.1,79.1,52973.0
2019-04-26,79.0,80.35,78.98,79.35,79.35,34918.0
2019-04-29,80.99,81.37,79.15,79.78,79.78,47883.0
2019-04-30,79.8,80.58,79.15,79.76,79.76,31091.0
2019-05-06,76.87,77.66,75.06,75.7,75.7,65431.0
2019-05-07,76.0,77.42,75.62,75.85,75.85,37119.0
2019-05-08,74.9,76.17,73.7,74.61,74.61,34996.0
2019-05-09,74.0,75.09,72.63,72.7,72.7,48134.0
2019-05-10,73.48,74.49,70.72,74.1,74.1,54074.0
2019-05-13,73.05,73.26,71.26,71.59,71.59,46327.0
2019-05-14,71.92,73.2,71.91,72.16,72.16,43330.0
2019-05-15,72.5,75.15,72.5,74.98,74.98,66195.0
2019-05-16,74.8,74.84,73.9,74.33,74.33,37372.0
2019-05-17,74.71,74.71,71.92,72.25,72.25,36003.0
2019-05-20,71.37,72.08,67.89,69.69,69.69,45237.0
2019-05-21,70.22,71.18,69.88,70.15,70.15,31949.0
2019-05-22,70.72,70.92,69.25,69.37,69.37,27824.0
2019-05-23,68.8,69.25,67.3,67.48,67.48,44017.0
2019-05-24,67.82,68.2,66.99,67.85,67.85,29311.0
2019-05-27,67.99,69.64,67.68,69.2,69.2,43690.0
2019-05-28,69.2,71.88,68.8,71.88,71.88,53181.0
2019-05-29,70.21,71.29,70.05,70.57,70.57,32951.0
2019-05-30,70.49,70.49,68.9,69.81,69.81,28726.0
2019-05-31,70.3,70.47,69.36,69.44,69.44,25167.0
2019-06-03,68.6,69.67,68.0,68.16,68.16,32528.0
