Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,26.01,26.12,24.56,24.62,24.62,207739.0
2019-01-03,24.62,25.08,24.4,24.8,24.8,99983.0
2019-01-04,24.54,25.7,24.5,25.7,25.7,146947.0
2019-01-07,25.65,26.4,25.41,26.0,26.0,142320.0
2019-01-08,26.0,26.34,25.73,25.9,25.9,63680.0
2019-01-09,25.85,26.52,25.76,26.13,26.13,95246.0
2019-01-10,26.28,26.53,26.12,26.27,26.27,82163.0
2019-01-11,26.48,26.49,25.77,25.95,25.95,69273.0
2019-01-14,26.01,26.1,25.38,25.69,25.69,84278.0
2019-01-15,25.85,26.34,25.62,26.3,26.3,122019.0
2019-01-16,26.34,27.1,26.23,26.89,26.89,130355.0
2019-01-17,26.7,27.09,26.6,26.72,26.72,85282.0
2019-01-18,26.82,27.11,26.62,27.0,27.0,115901.0
2019-01-21,27.02,27.85,27.0,27.43,27.43,149318.0
2019-01-22,27.43,27.48,26.78,26.84,26.84,70580.0
2019-01-23,26.8,27.14,26.74,26.9,26.9,40811.0
2019-01-24,26.82,26.97,26.05,26.72,26.72,91219.0
2019-01-25,26.64,27.14,26.6,26.81,26.81,88944.0
2019-01-28,27.02,27.59,26.89,27.1,27.1,109227.0
2019-01-29,27.09,27.51,27.05,27.46,27.46,98172.0
2019-01-30,27.48,27.58,27.09,27.17,27.17,58370.0
2019-01-31,27.28,27.36,25.8,27.16,27.16,117151.0
2019-02-01,27.15,28.48,27.1,28.27,28.27,173014.0
2019-02-11,28.28,29.16,28.17,29.05,29.05,119031.0
2019-02-12,29.1,29.74,28.98,29.22,29.22,104505.0
2019-02-13,29.45,30.0,29.3,29.83,29.83,124350.0
2019-02-14,29.99,30.01,29.41,29.7,29.7,78920.0
2019-02-15,29.72,30.48,29.63,29.69,29.69,128708.0
2019-02-18,29.81,31.62,29.8,31.56,31.56,159900.0
2019-02-19,31.7,32.27,30.98,31.82,31.82,152442.0
2019-02-20,31.79,32.0,31.02,31.28,31.28,113112.0
2019-02-21,31.3,31.98,31.2,31.3,31.3,92583.0
2019-02-22,31.33,31.58,30.85,31.58,31.58,82926.0
2019-02-25,31.32,32.5,31.32,32.49,32.49,160433.0
2019-02-26,32.43,33.58,32.0,32.16,32.16,191386.0
2019-02-27,31.67,31.87,30.88,31.0,31.0,188627.0
2019-02-28,31.3,32.47,31.29,32.17,32.17,160989.0
2019-03-01,33.5,33.63,32.3,33.14,33.14,175887.0
2019-03-04,33.4,33.9,32.6,33.15,33.15,254638.0
2019-03-05,33.0,33.15,32.33,32.82,32.82,164042.0
2019-03-06,32.7,33.11,32.28,32.96,32.96,146354.0
2019-03-07,32.8,32.85,31.6,31.86,31.86,174783.0
2019-03-08,31.36,31.74,30.69,30.69,30.69,173228.0
2019-03-11,30.69,31.98,30.69,31.94,31.94,143345.0
2019-03-12,32.19,32.48,31.5,31.75,31.75,136729.0
2019-03-13,31.7,32.33,31.11,31.35,31.35,140105.0
2019-03-14,31.13,32.06,31.13,31.41,31.41,125832.0
2019-03-15,31.6,32.57,31.56,32.22,32.22,156813.0
2019-03-18,32.0,33.5,32.0,33.44,33.44,202623.0
2019-03-19,33.45,34.23,32.24,32.68,32.68,174368.0
2019-03-20,32.78,32.85,32.07,32.59,32.59,97301.0
2019-03-21,32.5,32.55,32.1,32.3,32.3,105099.0
2019-03-22,32.25,32.53,32.11,32.26,32.26,97334.0
2019-03-25,31.92,32.18,31.46,31.49,31.49,99549.0
2019-03-26,31.5,31.86,31.19,31.27,31.27,80100.0
2019-03-27,31.65,32.45,31.23,32.44,32.44,129609.0
2019-03-28,32.31,32.6,32.01,32.43,32.43,93777.0
2019-03-29,32.48,34.0,32.48,34.0,34.0,231550.0
2019-04-01,34.27,34.86,34.01,34.38,34.38,182245.0
2019-04-02,34.31,34.39,33.51,33.82,33.82,132690.0
2019-04-03,33.6,34.0,33.4,33.8,33.8,87358.0
2019-04-04,33.58,34.0,33.33,33.6,33.6,87422.0
2019-04-08,33.98,34.47,33.0,33.21,33.21,107242.0
2019-04-09,33.09,34.62,32.88,34.5,34.5,158847.0
2019-04-10,34.83,34.83,34.09,34.32,34.32,134722.0
2019-04-11,34.3,34.37,33.03,33.07,33.07,122590.0
2019-04-12,33.0,33.69,32.8,33.69,33.69,88893.0
2019-04-15,33.78,34.28,32.8,32.8,32.8,142423.0
2019-04-16,32.85,33.42,32.3,33.4,33.4,101504.0
2019-04-17,33.42,33.97,33.02,33.76,33.76,123061.0
2019-04-18,33.98,34.21,33.43,33.69,33.69,59305.0
2019-04-19,33.67,33.97,33.43,33.78,33.78,43302.0
2019-04-22,33.59,34.65,33.41,34.46,34.46,129650.0
2019-04-23,34.37,34.84,33.92,34.15,34.15,112636.0
2019-04-24,34.22,34.95,33.92,34.92,34.92,102520.0
2019-04-25,34.88,36.75,34.41,35.73,35.73,239967.0
2019-04-26,35.9,36.36,35.13,36.07,36.07,203378.0
2019-04-29,36.03,38.15,35.9,37.09,37.09,215106.0
2019-04-30,37.0,37.73,36.36,37.33,37.33,121356.0
2019-05-06,35.98,36.5,34.47,34.5,34.5,245417.0
2019-05-07,34.64,37.16,34.64,36.8,36.8,217604.0
2019-05-08,36.01,36.16,34.8,35.09,35.09,176734.0
2019-05-09,34.5,34.98,33.48,33.71,33.71,169088.0
2019-05-10,34.4,35.45,33.55,35.12,35.12,154357.0
2019-05-13,34.42,36.62,34.39,35.84,35.84,150688.0
2019-05-14,35.6,35.77,34.9,35.12,35.12,110592.0
2019-05-15,35.56,36.46,35.2,36.1,36.1,130003.0
2019-05-16,36.18,36.67,35.79,36.39,36.39,94375.0
2019-05-17,36.4,37.37,36.01,36.3,36.3,142933.0
2019-05-20,36.2,37.18,35.53,36.69,36.69,126563.0
2019-05-21,36.35,36.98,35.9,36.8,36.8,127313.0
2019-05-22,36.75,36.76,35.95,36.29,36.29,112316.0
2019-05-23,36.09,36.09,35.21,35.39,35.39,100260.0
2019-05-24,35.4,35.74,35.03,35.4,35.4,79969.0
2019-05-27,35.27,36.15,34.81,35.8,35.8,111631.0
2019-05-28,35.98,37.89,35.8,37.89,37.89,215102.0
2019-05-29,37.0,37.68,36.66,37.13,37.13,109333.0
2019-05-30,37.22,38.13,36.83,37.75,37.75,139755.0
