Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,53.29,53.91,52.54,52.97,52.97,278848.0
2019-01-03,52.23,52.68,50.12,51.07,51.07,325561.0
2019-01-04,50.3,54.48,49.78,54.35,54.35,354969.0
2019-01-07,54.0,54.1,52.9,53.57,53.57,240338.0
2019-01-08,53.35,54.36,53.35,53.98,53.98,128292.0
2019-01-09,54.5,56.22,54.1,55.53,55.53,197011.0
2019-01-10,55.09,57.24,54.72,56.27,56.27,163686.0
2019-01-11,56.2,56.51,55.03,55.95,55.95,131165.0
2019-01-14,55.95,55.95,54.11,54.33,54.33,111806.0
2019-01-15,54.5,56.49,54.33,56.44,56.44,161210.0
2019-01-16,56.43,57.99,55.5,57.47,57.47,177374.0
2019-01-17,57.35,58.44,57.12,57.36,57.36,124214.0
2019-01-18,57.9,59.78,57.52,59.17,59.17,178400.0
2019-01-21,58.96,60.46,58.85,59.07,59.07,157930.0
2019-01-22,59.3,59.3,57.05,57.69,57.69,151660.0
2019-01-23,57.4,58.38,57.23,58.02,58.02,90135.0
2019-01-24,57.9,59.68,57.4,59.38,59.38,121942.0
2019-01-25,59.35,59.78,58.81,58.99,58.99,111232.0
2019-01-28,57.95,57.95,54.5,54.82,54.82,415755.0
2019-01-29,55.01,57.24,54.78,57.18,57.18,267403.0
2019-01-30,57.0,58.48,56.83,57.4,57.4,144053.0
2019-01-31,58.24,59.45,57.59,59.05,59.05,185001.0
2019-02-01,59.94,60.87,58.84,60.82,60.82,173804.0
2019-02-11,60.07,62.16,59.79,61.85,61.85,162456.0
2019-02-12,62.5,64.23,62.0,63.5,63.5,213539.0
2019-02-13,64.0,65.99,64.0,65.59,65.59,208882.0
2019-02-14,65.5,66.15,64.9,65.8,65.8,157679.0
2019-02-15,65.22,65.75,63.91,64.29,64.29,137296.0
2019-02-18,66.3,67.65,66.0,66.83,66.83,240946.0
2019-02-19,66.8,67.47,65.6,65.93,65.93,196815.0
2019-02-20,65.6,65.93,64.08,64.95,64.95,176077.0
2019-02-21,65.06,66.5,65.0,65.44,65.44,159135.0
2019-02-22,65.77,66.3,64.6,66.3,66.3,119445.0
2019-02-25,66.0,68.9,65.8,68.5,68.5,356755.0
2019-02-26,67.69,73.44,67.31,68.0,68.0,368609.0
2019-02-27,67.95,70.28,67.77,68.8,68.8,191795.0
2019-02-28,68.8,72.2,68.52,71.9,71.9,282684.0
2019-03-01,72.8,73.0,70.88,72.0,72.0,207387.0
2019-03-04,72.41,74.0,71.67,72.27,72.27,270971.0
2019-03-05,72.12,72.88,71.6,72.12,72.12,159720.0
2019-03-06,72.2,72.8,70.4,71.25,71.25,207512.0
2019-03-07,71.24,71.24,69.75,70.38,70.38,202093.0
2019-03-08,69.0,71.45,68.65,69.66,69.66,201549.0
2019-03-11,70.01,70.88,69.3,70.3,70.3,196450.0
2019-03-12,71.3,71.54,69.38,69.81,69.81,186711.0
2019-03-13,69.87,70.65,69.4,69.88,69.88,166471.0
2019-03-14,70.18,71.11,69.73,70.06,70.06,188755.0
2019-03-15,70.3,72.81,69.75,71.52,71.52,256058.0
2019-03-18,72.2,75.05,71.14,74.1,74.1,291631.0
2019-03-19,73.95,73.96,71.64,72.1,72.1,235290.0
2019-03-20,71.66,73.0,71.16,72.72,72.72,170864.0
2019-03-21,73.03,73.56,71.88,72.4,72.4,125727.0
2019-03-22,72.9,73.49,72.05,73.13,73.13,134844.0
2019-03-25,72.1,73.1,71.18,71.2,71.2,178861.0
2019-03-26,71.9,72.48,70.86,71.55,71.55,129692.0
2019-03-27,72.14,75.55,72.14,74.36,74.36,344629.0
2019-03-28,61.68,65.45,61.0,64.65,64.65,255548.0
2019-03-29,63.88,66.01,62.65,65.42,65.42,294505.0
2019-04-01,66.0,67.95,65.46,65.75,65.75,264290.0
2019-04-02,66.0,66.01,64.6,65.28,65.28,199156.0
2019-04-03,65.25,65.93,64.91,65.58,65.58,166465.0
2019-04-04,65.5,66.25,64.9,66.14,66.14,178992.0
2019-04-08,66.5,66.5,63.45,63.98,63.98,320094.0
2019-04-09,63.53,65.1,62.6,64.82,64.82,257801.0
2019-04-10,64.96,67.03,64.01,65.73,65.73,326110.0
2019-04-11,65.73,66.5,63.8,63.98,63.98,250217.0
2019-04-12,64.3,65.12,63.53,64.62,64.62,157140.0
2019-04-15,65.62,65.98,63.13,63.35,63.35,197565.0
2019-04-16,63.34,64.86,63.05,64.86,64.86,164086.0
2019-04-17,65.5,65.5,64.21,64.53,64.53,153631.0
2019-04-18,64.75,64.75,63.77,64.13,64.13,101789.0
2019-04-19,64.0,65.08,63.78,64.45,64.45,127295.0
2019-04-22,64.3,64.4,62.07,62.14,62.14,269082.0
2019-04-23,62.08,63.55,62.01,62.84,62.84,190381.0
2019-04-24,63.26,63.69,62.5,62.85,62.85,147052.0
2019-04-25,63.03,64.87,62.9,63.9,63.9,264767.0
2019-04-26,63.01,63.81,61.6,62.33,62.33,203222.0
2019-04-29,62.48,66.44,62.48,65.32,65.32,412740.0
2019-04-30,65.0,66.3,64.64,65.75,65.75,194519.0
2019-05-06,65.0,65.0,63.02,64.2,64.2,348033.0
2019-05-07,64.8,68.48,64.52,66.14,66.14,424232.0
2019-05-08,64.57,65.6,64.0,64.23,64.23,235151.0
2019-05-09,63.7,64.75,62.0,62.5,62.5,211816.0
2019-05-10,63.38,64.3,61.36,64.12,64.12,219774.0
2019-05-13,63.4,64.76,62.71,64.17,64.17,137766.0
2019-05-14,63.84,65.66,63.0,63.03,63.03,234627.0
2019-05-15,63.53,65.41,63.51,65.41,65.41,300370.0
2019-05-16,64.89,65.18,63.72,64.28,64.28,284269.0
2019-05-17,63.8,63.96,62.6,62.76,62.76,295148.0
2019-05-20,62.7,63.47,59.66,60.25,60.25,319056.0
2019-05-21,60.26,61.55,60.26,60.81,60.81,192418.0
2019-05-22,60.8,61.6,60.1,61.06,61.06,157541.0
2019-05-23,61.0,61.0,59.58,59.61,59.61,161125.0
2019-05-24,59.87,60.7,59.65,60.07,60.07,114232.0
2019-05-27,60.15,61.6,59.0,61.2,61.2,178433.0
2019-05-28,61.2,62.68,61.11,62.52,62.52,244890.0
2019-05-29,62.0,62.57,61.59,61.91,61.91,106882.0
2019-05-30,61.2,61.99,60.82,61.91,61.91,111062.0
2019-05-31,62.9,63.88,62.16,62.16,62.16,180457.0
2019-06-03,62.36,63.5,62.26,63.22,63.22,196510.0
2019-06-04,63.35,63.68,61.5,62.03,62.03,162462.0
2019-06-05,62.0,62.36,58.89,59.0,59.0,361237.0
2019-06-06,59.05,59.39,57.18,57.98,57.98,244783.0
2019-06-10,57.97,59.37,57.38,58.63,58.63,164988.0
2019-06-11,58.99,60.33,58.71,60.12,60.12,236637.0
2019-06-12,59.97,60.83,59.1,60.35,60.35,158292.0
2019-06-13,60.8,61.75,60.0,61.3,61.3,152970.0
2019-06-14,61.4,62.48,61.0,61.28,61.28,175688.0
2019-06-17,61.95,62.48,61.5,61.6,61.6,138579.0
2019-06-18,62.0,62.83,61.86,62.59,62.59,140975.0
