Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,14.09,14.47,14.02,14.14,14.14,240228.0
2019-01-03,13.8,13.87,13.0,13.45,13.45,292660.0
2019-01-04,13.15,13.37,12.81,13.21,13.21,426493.0
2019-01-07,13.25,13.76,13.15,13.71,13.71,351603.0
2019-01-08,13.55,14.12,13.52,13.91,13.91,213620.0
2019-01-09,13.91,14.3,13.85,13.99,13.99,320295.0
2019-01-10,14.7,15.03,14.16,14.91,14.91,688306.0
2019-01-11,14.98,15.08,14.69,14.75,14.75,288297.0
2019-01-14,14.85,15.0,14.73,14.82,14.82,275919.0
2019-01-15,14.82,15.04,14.58,15.04,15.04,290162.0
2019-01-16,15.03,15.25,14.75,14.92,14.92,260786.0
2019-01-17,14.85,15.2,14.73,14.92,14.92,227956.0
2019-01-18,14.93,15.14,14.8,15.09,15.09,264178.0
2019-01-21,14.95,15.37,14.95,15.06,15.06,268752.0
2019-01-22,15.06,15.14,14.84,15.08,15.08,143768.0
2019-01-23,14.93,15.15,14.92,15.08,15.08,118409.0
2019-01-24,15.08,15.13,14.86,15.1,15.1,191104.0
2019-01-25,15.1,15.88,15.01,15.58,15.58,346170.0
2019-01-28,15.69,16.53,15.58,16.34,16.34,427715.0
2019-01-29,16.5,16.5,15.87,16.28,16.28,281513.0
2019-01-30,16.35,16.56,16.05,16.16,16.16,186305.0
2019-01-31,16.48,16.51,16.16,16.37,16.37,313768.0
2019-02-01,16.64,16.85,16.42,16.7,16.7,286946.0
2019-02-11,16.85,17.55,16.7,17.55,17.55,562344.0
2019-02-12,17.55,17.71,17.34,17.48,17.48,354048.0
2019-02-13,17.57,17.85,17.23,17.53,17.53,431141.0
2019-02-14,17.5,17.72,17.14,17.22,17.22,477621.0
2019-02-15,17.23,17.55,17.09,17.1,17.1,272890.0
2019-02-18,17.22,18.35,17.22,18.25,18.25,565057.0
2019-02-19,18.25,19.01,18.02,18.31,18.31,461969.0
2019-02-20,18.49,19.49,18.42,19.49,19.49,576307.0
2019-02-21,19.37,20.0,19.08,19.39,19.39,473253.0
2019-02-22,19.15,20.5,19.15,20.47,20.47,416824.0
2019-02-25,21.7,22.52,20.7,21.2,21.2,661342.0
2019-02-26,21.36,21.81,21.0,21.48,21.48,634379.0
2019-02-27,21.11,21.47,20.01,20.83,20.83,455959.0
2019-02-28,20.75,21.18,20.52,20.97,20.97,336851.0
2019-03-01,21.59,21.63,20.45,20.89,20.89,365449.0
2019-03-04,21.12,21.88,20.73,20.95,20.95,656119.0
