Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,37.2,37.38,36.3,36.44,36.44,208624.0
2019-01-03,36.26,36.83,36.0,36.2,36.2,143233.0
2019-01-04,35.99,37.07,35.8,36.99,36.99,277118.0
2019-01-07,37.66,37.66,36.66,36.99,36.99,252997.0
2019-01-08,37.05,37.2,36.68,36.86,36.86,134698.0
2019-01-09,38.25,39.5,37.82,39.0,39.0,825859.0
2019-01-10,38.86,39.78,38.6,39.29,39.29,355956.0
2019-01-11,39.5,39.95,38.85,39.84,39.84,278139.0
2019-01-14,39.91,40.36,39.32,39.45,39.45,187161.0
2019-01-15,39.5,41.02,39.33,41.0,41.0,402190.0
2019-01-16,41.0,41.46,40.62,41.2,41.2,286234.0
2019-01-17,41.2,41.7,40.88,40.91,40.91,259740.0
2019-01-18,41.45,42.1,41.04,42.08,42.08,384428.0
2019-01-21,42.2,42.8,41.6,42.09,42.09,294116.0
2019-01-22,42.1,42.31,41.02,41.3,41.3,244682.0
2019-01-23,40.99,42.05,40.99,41.46,41.46,192273.0
2019-01-24,41.8,42.09,41.21,41.59,41.59,219563.0
2019-01-25,41.73,42.1,40.7,41.9,41.9,267548.0
2019-01-28,42.18,43.0,41.8,41.84,41.84,342213.0
2019-01-29,41.84,43.0,41.46,43.0,43.0,369692.0
2019-01-30,42.79,42.9,42.1,42.1,42.1,292191.0
2019-01-31,42.88,43.6,42.45,43.53,43.53,389215.0
2019-02-01,44.35,44.5,43.53,44.26,44.26,312203.0
2019-02-11,43.96,46.32,43.9,46.08,46.08,349054.0
2019-02-12,46.0,46.9,45.65,46.49,46.49,302894.0
2019-02-13,46.74,47.23,45.9,46.8,46.8,324143.0
2019-02-14,46.9,47.31,46.5,47.15,47.15,229214.0
2019-02-15,46.75,46.75,45.0,45.27,45.27,465360.0
2019-02-18,45.8,46.46,45.55,46.4,46.4,325702.0
2019-02-19,46.48,47.34,45.61,46.08,46.08,280759.0
2019-02-21,46.5,47.42,45.64,45.86,45.86,414423.0
2019-02-22,45.9,45.9,44.35,45.61,45.61,388825.0
2019-02-25,47.5,49.39,46.69,49.17,49.17,728523.0
2019-02-26,48.35,48.7,47.35,47.36,47.36,490517.0
2019-02-27,47.15,48.21,47.15,47.64,47.64,318705.0
2019-02-28,47.65,48.18,47.45,47.78,47.78,253243.0
2019-03-01,48.1,48.67,47.87,48.57,48.57,358401.0
2019-03-04,49.11,50.2,48.6,48.96,48.96,542644.0
2019-03-05,49.42,49.5,48.71,49.0,49.0,309243.0
2019-03-06,49.38,49.68,48.7,49.1,49.1,316524.0
2019-03-07,49.0,49.0,47.18,47.56,47.56,511627.0
2019-03-08,46.66,47.23,45.7,45.8,45.8,463009.0
2019-03-11,45.85,46.68,45.85,46.58,46.58,290561.0
2019-03-12,47.4,47.62,45.76,46.16,46.16,411678.0
2019-03-13,46.18,46.64,45.53,46.23,46.23,348805.0
2019-03-14,46.2,47.17,46.15,46.41,46.41,344231.0
2019-03-15,47.3,48.58,46.84,47.93,47.93,672362.0
2019-03-18,47.5,49.5,47.3,49.32,49.32,514992.0
2019-03-19,49.53,49.77,48.68,49.25,49.25,297019.0
2019-03-20,49.25,49.45,48.38,48.9,48.9,291752.0
2019-03-21,48.65,48.8,48.08,48.24,48.24,258326.0
2019-03-22,48.3,48.82,47.71,48.6,48.6,227080.0
2019-03-25,47.68,48.2,46.56,46.69,46.69,326856.0
2019-03-26,47.1,47.1,45.91,46.57,46.57,224424.0
2019-03-27,46.98,47.8,46.59,47.57,47.57,227523.0
2019-03-28,47.58,47.74,46.81,47.14,47.14,202358.0
2019-03-29,47.01,48.88,47.01,48.73,48.73,439464.0
2019-04-01,49.3,53.57,49.25,52.93,52.93,974589.0
2019-04-02,52.93,53.36,51.73,51.9,51.9,556776.0
2019-04-03,51.46,52.56,51.45,52.2,52.2,378813.0
2019-04-04,52.2,53.98,52.19,53.65,53.65,537245.0
2019-04-08,53.65,55.66,53.2,54.18,54.18,522005.0
2019-04-09,55.51,56.35,54.2,55.01,55.01,414112.0
2019-04-10,54.7,55.57,53.65,54.72,54.72,398699.0
2019-04-11,54.72,54.75,52.31,52.44,52.44,515525.0
2019-04-12,51.85,52.43,50.47,51.29,51.29,469636.0
2019-04-15,52.05,53.3,51.5,51.5,51.5,401187.0
2019-04-16,51.0,52.88,50.65,52.88,52.88,312128.0
2019-04-17,53.13,53.59,51.97,53.0,53.0,361870.0
2019-04-18,53.53,54.33,53.1,53.42,53.42,265875.0
2019-04-19,53.35,55.75,52.7,55.08,55.08,370995.0
2019-04-22,54.99,54.99,52.2,52.79,52.79,415168.0
2019-04-23,52.2,52.85,51.57,52.27,52.27,360135.0
2019-04-24,52.5,52.83,51.55,52.6,52.6,289059.0
2019-04-25,52.3,52.3,51.28,51.41,51.41,256795.0
2019-04-26,50.97,51.36,49.26,49.37,49.37,459294.0
2019-04-29,49.37,51.98,49.36,51.31,51.31,447563.0
2019-04-30,51.4,53.5,51.4,52.4,52.4,459880.0
2019-05-06,49.9,51.04,49.0,49.07,49.07,663235.0
2019-05-07,50.3,51.49,49.9,50.75,50.75,717852.0
2019-05-22,51.51,53.22,51.0,51.41,51.41,803694.0
2019-05-23,50.7,50.8,49.4,49.51,49.51,421150.0
2019-05-24,49.28,50.28,49.01,49.82,49.82,299407.0
2019-05-27,49.82,50.08,48.88,49.75,49.75,284808.0
2019-05-28,49.77,51.22,49.77,50.51,50.51,349889.0
2019-05-29,50.05,50.92,49.85,50.38,50.38,218494.0
2019-05-30,49.37,49.72,48.5,49.45,49.45,323330.0
2019-05-31,49.0,50.15,48.95,49.6,49.6,241078.0
2019-06-03,49.79,50.99,49.75,50.12,50.12,228010.0
2019-06-04,50.13,50.59,49.21,49.7,49.7,163447.0
2019-06-05,50.42,50.54,49.25,49.51,49.51,229796.0
2019-06-06,50.1,50.1,48.87,49.12,49.12,185739.0
2019-06-10,49.56,50.0,49.34,49.76,49.76,243810.0
2019-06-11,49.69,51.84,49.6,51.47,51.47,374274.0
2019-06-12,51.34,51.62,50.83,51.51,51.51,212637.0
2019-06-13,51.69,51.69,50.21,51.03,51.03,201816.0
2019-06-14,51.28,51.9,50.55,50.57,50.57,135929.0
2019-06-17,50.87,51.25,50.39,50.79,50.79,132745.0
2019-06-18,50.76,51.3,50.5,50.91,50.91,120219.0
2019-06-19,52.5,52.97,52.01,52.01,52.01,263454.0
2019-06-20,52.36,53.95,52.11,53.29,53.29,448438.0
2019-06-21,52.81,53.57,51.83,52.11,52.11,622820.0
2019-06-24,51.83,52.62,51.4,52.18,52.18,376972.0
2019-06-25,52.0,52.18,51.0,51.44,51.44,330480.0
2019-06-26,51.51,51.83,51.32,51.51,51.51,202549.0
2019-06-27,51.7,52.28,51.35,51.77,51.77,345210.0
2019-06-28,51.69,52.19,51.4,51.86,51.86,169576.0
2019-07-01,52.97,54.45,52.76,54.09,54.09,611630.0
2019-07-02,53.66,55.1,53.56,54.81,54.81,500486.0
2019-07-03,55.22,55.32,53.68,54.09,54.09,354336.0
2019-07-04,54.45,55.1,54.0,54.4,54.4,325227.0
2019-07-05,54.37,55.5,53.56,55.27,55.27,387085.0
2019-07-08,54.72,55.05,54.01,54.39,54.39,305691.0
2019-07-09,54.3,54.48,53.36,53.84,53.84,255433.0
2019-07-10,54.3,54.3,53.48,53.9,53.9,145526.0
2019-07-11,54.02,55.27,53.92,54.39,54.39,243812.0
2019-07-12,54.45,55.15,54.18,54.78,54.78,198068.0
2019-07-15,54.51,55.3,53.68,54.67,54.67,242963.0
2019-07-16,54.8,54.85,53.11,53.52,53.52,260092.0
2019-07-17,53.33,53.47,52.52,52.72,52.72,226490.0
2019-07-18,52.5,52.92,52.02,52.69,52.69,178857.0
2019-07-19,53.39,53.39,52.49,52.59,52.59,208174.0
2019-07-22,52.7,53.2,52.0,52.8,52.8,191810.0
2019-07-23,52.8,53.22,52.71,53.2,53.2,142463.0
2019-07-24,53.59,53.9,53.3,53.38,53.38,177386.0
2019-07-25,53.38,53.64,53.04,53.45,53.45,169263.0
2019-07-26,53.1,53.6,53.02,53.43,53.43,128944.0
2019-07-29,53.64,54.38,53.41,54.01,54.01,227422.0
2019-07-30,54.28,55.38,54.25,55.2,55.2,348705.0
2019-07-31,55.13,55.66,54.56,54.7,54.7,198317.0
2019-08-01,54.39,54.98,53.15,53.6,53.6,241273.0
2019-08-02,51.5,53.0,51.05,52.75,52.75,341764.0
2019-08-05,51.63,52.65,51.52,51.6,51.6,287863.0
2019-08-06,50.61,51.58,49.32,51.51,51.51,341739.0
2019-08-07,51.76,51.88,51.03,51.03,51.03,145318.0
2019-08-08,51.23,52.0,51.2,51.8,51.8,131924.0
2019-08-09,52.1,52.35,51.01,51.22,51.22,149813.0
2019-08-12,51.0,51.68,50.51,51.25,51.25,194252.0
2019-08-13,51.05,51.66,50.05,50.32,50.32,264441.0
2019-08-14,51.09,51.2,50.06,50.17,50.17,223878.0
2019-08-15,49.3,50.11,48.61,49.96,49.96,268173.0
2019-08-16,50.0,50.65,49.59,50.32,50.32,202214.0
2019-08-19,50.8,51.75,50.55,51.57,51.57,231819.0
2019-08-20,51.57,51.87,51.18,51.46,51.46,150967.0
2019-08-21,51.2,52.05,51.02,51.69,51.69,210180.0
