Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,28.36,28.72,28.12,28.44,28.44,222881.0
2019-01-03,28.44,28.54,27.52,27.55,27.55,201817.0
2019-01-04,27.13,28.55,27.0,28.45,28.45,243696.0
2019-01-07,28.79,28.94,28.33,28.75,28.75,192046.0
2019-01-08,28.67,28.94,28.43,28.79,28.79,124324.0
2019-01-09,28.96,31.39,28.96,30.76,30.76,548600.0
2019-01-10,30.78,31.12,30.39,30.55,30.55,261704.0
2019-01-11,30.61,31.57,30.61,30.91,30.91,283886.0
2019-01-14,30.96,31.33,30.33,31.13,31.13,214904.0
2019-01-15,30.98,32.46,30.86,32.02,32.02,345510.0
2019-01-16,31.93,32.6,31.77,32.32,32.32,275244.0
2019-01-17,32.41,32.51,31.76,31.77,31.77,206484.0
2019-01-18,31.92,32.33,31.71,32.05,32.05,255395.0
2019-01-21,32.26,33.3,32.15,33.19,33.19,366433.0
2019-01-22,33.05,33.09,32.4,32.48,32.48,222640.0
2019-01-23,32.15,32.69,32.15,32.55,32.55,128090.0
2019-01-24,32.45,32.63,30.8,31.5,31.5,347635.0
2019-01-25,31.5,32.81,31.5,32.33,32.33,277551.0
2019-01-28,32.48,33.12,31.84,32.21,32.21,273167.0
2019-01-29,32.14,32.85,31.96,32.75,32.75,225506.0
2019-01-30,33.0,33.28,32.27,32.45,32.45,218610.0
2019-01-31,32.68,32.96,32.42,32.7,32.7,204970.0
2019-02-01,32.91,34.85,32.75,34.44,34.44,407615.0
2019-02-11,34.28,35.51,34.1,35.28,35.28,348500.0
2019-02-12,35.4,37.07,35.08,36.08,36.08,423335.0
2019-02-13,36.08,37.75,35.95,37.44,37.44,430520.0
2019-02-14,37.4,38.43,37.29,37.85,37.85,325435.0
2019-02-15,37.8,37.8,36.41,36.47,36.47,444281.0
2019-02-18,36.83,38.34,36.83,38.13,38.13,355677.0
2019-02-19,38.85,38.93,37.52,37.92,37.92,327731.0
2019-02-20,37.99,38.08,36.91,37.14,37.14,291633.0
2019-02-21,37.32,37.98,36.93,37.25,37.25,288244.0
2019-02-22,37.0,37.56,36.61,37.5,37.5,296661.0
2019-02-25,38.0,40.32,38.0,39.96,39.96,725027.0
2019-02-26,39.97,41.67,39.51,40.04,40.04,580108.0
2019-02-27,40.0,41.3,39.58,40.01,40.01,356751.0
2019-02-28,41.0,42.17,40.02,40.87,40.87,429144.0
2019-03-01,41.02,42.28,40.84,42.08,42.08,429966.0
2019-03-04,42.22,43.09,41.12,41.55,41.55,554814.0
2019-03-05,41.53,41.53,40.5,41.03,41.03,399220.0
